date,secid,exdate,strike_price,cp_flag,best_bid,best_offer,open_interest,impl_volatility,delta,gamma,theta,vega,volume,tte,underlying_price,underlying_price_stock,mid_price,moneyness,bid_ask_spread,log_moneyness,earnings_date,days_to_earnings,ticker
2023-01-03,101594.0,2023-01-13,105.0,C,20.4,20.7,14.0,0.69712,0.943308,0.007899,-33.92472,2.357881,42.0,10,20.549999999999997,125.07,20.549999999999997,1.191142857142857,0.014705882352941213,0.17491323040329176,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,106.0,C,19.45,19.75,0.0,0.686508,0.936044,0.008814,-36.39178,2.594615,8.0,10,19.6,125.07,19.6,1.1799056603773583,0.015424164524421632,0.16543448644874795,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,107.0,C,18.55,18.7,0.0,0.664726,0.930991,0.009654,-37.27995,2.750315,31.0,10,18.625,125.07,18.625,1.1688785046728971,0.00808625336927216,0.15604474609890898,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,108.0,C,17.5,17.8,0.0,0.642236,0.925605,0.010585,-38.07446,2.911333,80.0,10,17.65,125.07,17.65,1.1580555555555554,0.017142857142857182,0.1467423534365954,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,109.0,C,16.55,16.8,0.0,0.619054,0.919843,0.011621,-38.77021,3.081443,3.0,10,16.675,125.07,16.675,1.1474311926605505,0.015105740181268881,0.13752569833167155,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,110.0,C,15.65,15.85,64.0,0.610187,0.908642,0.013002,-41.7807,3.401939,309.0,10,15.75,125.07,15.75,1.137,0.012779552715654906,0.128393214768399,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,111.0,C,14.65,14.95,0.0,0.591758,0.89944,0.014386,-43.31252,3.646657,27.0,10,14.8,125.07,14.8,1.1267567567567567,0.02047781569965863,0.11934337924848101,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,112.0,C,13.7,14.05,0.0,0.578291,0.887281,0.015986,-45.70029,3.955644,41.0,10,13.875,125.07,13.875,1.1166964285714285,0.025547445255474557,0.11037470926572059,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,113.0,C,12.85,13.05,0.0,0.562583,0.874511,0.017726,-47.7388,4.27293,38.0,10,12.95,125.07,12.95,1.1068141592920353,0.015564202334630434,0.10148576184847456,2023-02-02,30,AAPL
2023-01-03,101594.0,2023-01-13,114.0,C,11.95,12.15,0.0,0.55023,0.85879,0.019655,-50.35873,4.634972,88.0,10,12.05,125.07,12.05,1.0971052631578946,0.016736401673640256,0.09267513216631962,2023-02-02,30,AAPL
