date,secid,exdate,strike_price,cp_flag,best_bid,best_offer,open_interest,impl_volatility,delta,gamma,theta,vega,volume,tte,underlying_price,underlying_price_stock,mid_price,moneyness,bid_ask_spread,log_moneyness,earnings_date,days_to_earnings,ticker
2023-01-03,107525.0,2023-01-13,215.0,C,25.25,25.6,34.0,0.464655,0.927875,0.007459,-54.09736,5.448818,4.0,10,25.425,239.58,25.425,1.114325581395349,0.013861386138613917,0.10824936217552229,2023-01-24,21,MSFT
2023-01-03,107525.0,2023-01-13,220.0,C,20.6,20.9,39.0,0.435154,0.891531,0.010789,-66.35229,7.372537,33.0,10,20.75,239.58,20.75,1.089,0.014563106796116367,0.0852598439508234,2023-01-24,21,MSFT
2023-01-03,107525.0,2023-01-13,222.5,C,18.35,18.6,5.0,0.420694,0.867034,0.012881,-72.99981,8.523564,33.0,10,18.475,239.58,18.475,1.0767640449438203,0.013623978201634876,0.0739602886968901,2023-01-24,21,MSFT
2023-01-03,107525.0,2023-01-13,225.0,C,15.9,16.6,35.0,0.405782,0.837556,0.01527,-79.54327,9.741792,7.0,10,16.25,239.58,16.25,1.0648,0.04402515723270447,0.06278698809876479,2023-01-24,21,MSFT
2023-01-03,107525.0,2023-01-13,227.5,C,14.05,14.3,5.0,0.39843,0.797795,0.017833,-88.33057,11.16674,142.0,10,14.175,239.58,14.175,1.0530989010989011,0.01779359430604982,0.05173715191217989,2023-01-24,21,MSFT
2023-01-03,107525.0,2023-01-13,230.0,C,12.15,12.3,193.0,0.392954,0.750644,0.020361,-96.94085,12.58552,131.0,10,12.225000000000001,239.58,12.225000000000001,1.0416521739130435,0.012345679012345708,0.04080808137998965,2023-01-24,21,MSFT
2023-01-03,107525.0,2023-01-13,232.5,C,10.3,10.4,20.0,0.384,0.698733,0.02287,-103.0705,13.81871,226.0,10,10.350000000000001,239.58,10.350000000000001,1.030451612903226,0.009708737864077634,0.029997165275774097,2023-01-24,21,MSFT
2023-01-03,107525.0,2023-01-13,235.0,C,8.55,8.7,378.0,0.376368,0.639979,0.02506,-107.6715,14.83296,473.0,10,8.625,239.58,8.625,1.0194893617021277,0.01754385964912264,0.019301876159026007,2023-01-24,21,MSFT
2023-01-03,107525.0,2023-01-13,237.5,C,7.0,7.1,124.0,0.368787,0.575836,0.026777,-109.7576,15.53281,484.0,10,7.05,239.58,7.05,1.008757894736842,0.014285714285714235,0.008719766828489028,2023-01-24,21,MSFT
2023-01-03,107525.0,2023-01-13,240.0,C,5.6,5.7,2610.0,0.361988,0.507587,0.027777,-109.0991,15.81874,1866.0,10,5.65,239.58,5.65,0.9982500000000001,0.017857142857142953,-0.0017515330388062655,2023-01-24,21,MSFT
2023-01-03,107525.0,2023-01-13,242.5,C,4.4,4.45,450.0,0.355419,0.437318,0.027947,-105.3364,15.62506,1033.0,10,4.425000000000001,239.58,4.425000000000001,0.987958762886598,0.011363636363636322,-0.01211432007435286,2023-01-24,21,MSFT
2023-01-03,107525.0,2023-01-13,245.0,C,3.35,3.4,1333.0,0.348765,0.367136,0.027222,-98.41579,14.93182,1568.0,10,3.375,239.58,3.375,0.9778775510204082,0.014925373134328304,-0.022370820241542005,2023-01-24,21,MSFT
2023-01-03,107525.0,2023-01-13,247.5,C,2.48,2.52,281.0,0.342189,0.299343,0.025593,-88.77484,13.77084,756.0,10,2.5,239.58,2.5,0.9680000000000001,0.01612903225806453,-0.03252319170555995,2023-01-24,21,MSFT
2023-01-03,107525.0,2023-01-13,250.0,C,1.79,1.82,2763.0,0.33665,0.236946,0.023121,-77.40311,12.23048,1800.0,10,1.8050000000000002,239.58,1.8050000000000002,0.9583200000000001,0.016759776536312863,-0.042573527559061415,2023-01-24,21,MSFT
2023-01-03,107525.0,2023-01-13,252.5,C,1.26,1.29,202.0,0.332523,0.182314,0.020059,-65.35135,10.48447,1517.0,10,1.275,239.58,1.275,0.9488316831683169,0.02380952380952383,-0.05252385841222949,2023-01-24,21,MSFT
2023-01-03,107525.0,2023-01-13,255.0,C,0.88,0.91,2060.0,0.331005,0.137671,0.016767,-54.00607,8.715369,570.0,10,0.895,239.58,0.895,0.939529411764706,0.03409090909090912,-0.062376154855241124,2023-01-24,21,MSFT
2023-01-03,107525.0,2023-01-13,257.5,C,0.6,0.63,207.0,0.32979,0.101349,0.013554,-43.25504,7.028508,408.0,10,0.615,239.58,0.615,0.9304077669902913,0.050000000000000044,-0.07213232980060588,2023-01-24,21,MSFT
2023-01-03,107525.0,2023-01-13,260.0,C,0.42,0.44,1915.0,0.331776,0.074645,0.010725,-34.57966,5.595854,338.0,10,0.43,239.58,0.43,0.9214615384615386,0.047619047619047665,-0.08179424071234268,2023-01-24,21,MSFT
2023-01-03,107525.0,2023-01-13,262.5,C,0.29,0.31,79.0,0.334481,0.054489,0.008329,-27.25342,4.382221,223.0,10,0.3,239.58,0.3,0.9126857142857143,0.06896551724137938,-0.09136369172849344,2023-01-24,21,MSFT
2023-01-03,107525.0,2023-01-13,265.0,C,0.2,0.23,5654.0,0.339503,0.040306,0.006444,-21.69591,3.43931,633.0,10,0.21500000000000002,239.58,0.21500000000000002,0.9040754716981133,0.15,-0.10084243568303713,2023-01-24,21,MSFT
2023-01-03,107525.0,2023-01-13,267.5,C,0.15,0.17,20.0,0.346832,0.030548,0.005026,-17.63876,2.740034,42.0,10,0.16,239.58,0.16,0.8956261682242991,0.13333333333333347,-0.11023217603287627,2023-01-24,21,MSFT
2023-01-03,107525.0,2023-01-13,270.0,C,0.11,0.13,2391.0,0.354287,0.023253,0.003918,-14.33119,2.182594,585.0,10,0.12,239.58,0.12,0.8873333333333334,0.18181818181818185,-0.1195345686951897,2023-01-24,21,MSFT
2023-01-03,107525.0,2023-01-13,272.5,C,0.08,0.1,0.0,0.361488,0.017681,0.003044,-11.58295,1.730315,276.0,10,0.09,239.58,0.09,0.8791926605504587,0.25000000000000006,-0.12875122380011378,2023-01-24,21,MSFT
2023-01-03,107525.0,2023-01-13,275.0,C,0.07,0.08,622.0,0.373692,0.014584,0.002497,-10.14413,1.469447,134.0,10,0.07500000000000001,239.58,0.07500000000000001,0.8712000000000001,0.14285714285714277,-0.13788370736338623,2023-01-24,21,MSFT
2023-01-03,107525.0,2023-01-13,280.0,C,0.04,0.05,300.0,0.3893,0.008871,0.001557,-6.853886,0.952155,79.0,10,0.045,239.58,0.045,0.8556428571428571,0.25000000000000006,-0.15590221286606465,2023-01-24,21,MSFT
2023-01-03,107525.0,2023-01-13,200.0,P,0.07,0.09,316.0,0.492221,-0.011577,0.001553,-10.68731,1.203283,173.0,10,0.08,239.58,0.08,1.1979,0.28571428571428553,0.18057002375514825,2023-01-24,21,MSFT
2023-01-03,107525.0,2023-01-13,202.5,P,0.1,0.11,0.0,0.480632,-0.015101,0.002001,-13.11978,1.513475,55.0,10,0.10500000000000001,239.58,0.10500000000000001,1.1831111111111112,0.09999999999999995,0.1681475037565912,2023-01-24,21,MSFT
2023-01-03,107525.0,2023-01-13,205.0,P,0.12,0.14,317.0,0.464896,-0.018835,0.002499,-15.31643,1.825717,52.0,10,0.13,239.58,0.13,1.1686829268292684,0.16666666666666682,0.1558774111647769,2023-01-24,21,MSFT
2023-01-03,107525.0,2023-01-13,207.5,P,0.16,0.18,35.0,0.453013,-0.024458,0.003199,-18.59714,2.275895,47.0,10,0.16999999999999998,239.58,0.16999999999999998,1.1546024096385543,0.12499999999999993,0.14375605063243205,2023-01-24,21,MSFT
2023-01-03,107525.0,2023-01-13,210.0,P,0.22,0.23,627.0,0.44205,-0.031986,0.004098,-22.66575,2.847076,690.0,10,0.225,239.58,0.225,1.140857142857143,0.0454545454545455,0.13177985958571642,2023-01-24,21,MSFT
2023-01-03,107525.0,2023-01-13,212.5,P,0.29,0.31,188.0,0.431901,-0.041956,0.005236,-27.61569,3.559978,80.0,10,0.3,239.58,0.3,1.127435294117647,0.06896551724137938,0.11994540193871346,2023-01-24,21,MSFT
2023-01-03,107525.0,2023-01-13,215.0,P,0.39,0.41,1035.0,0.422095,-0.054868,0.006641,-33.41381,4.39548,377.0,10,0.4,239.58,0.4,1.114325581395349,0.05128205128205118,0.10824936217552229,2023-01-24,21,MSFT
2023-01-03,107525.0,2023-01-13,217.5,P,0.52,0.54,243.0,0.412056,-0.071194,0.008333,-39.90226,5.395032,272.0,10,0.53,239.58,0.53,1.1015172413793104,0.03846153846153849,0.09668853977444622,2023-01-24,21,MSFT
2023-01-03,107525.0,2023-01-13,220.0,P,0.7,0.72,1341.0,0.403655,-0.092621,0.010373,-47.59109,6.584414,1275.0,10,0.71,239.58,0.71,1.089,0.0285714285714286,0.0852598439508234,2023-01-24,21,MSFT
2023-01-03,107525.0,2023-01-13,222.5,P,0.93,0.96,269.0,0.395407,-0.119354,0.012724,-55.90937,7.891188,846.0,10,0.9450000000000001,239.58,0.9450000000000001,1.0767640449438203,0.03225806451612894,0.0739602886968901,2023-01-24,21,MSFT
2023-01-03,107525.0,2023-01-13,225.0,P,1.25,1.27,1088.0,0.388441,-0.152875,0.015347,-64.94228,9.359873,844.0,10,1.26,239.58,1.26,1.0648,0.016000000000000014,0.06278698809876479,2023-01-24,21,MSFT
2023-01-03,107525.0,2023-01-13,227.5,P,1.64,1.67,156.0,0.380826,-0.192753,0.018153,-73.64008,10.85437,397.0,10,1.6549999999999998,239.58,1.6549999999999998,1.0530989010989011,0.018292682926829285,0.05173715191217989,2023-01-24,21,MSFT
