feature,importance,model
normative_iv_rv_ratio,0.743129249602636,random_forest
ievr,0.24573844225542413,random_forest
term_ratio,0.0012044863617986419,random_forest
smirk,0.0010382776584397474,random_forest
HML,0.0010273421412678558,random_forest
RF,0.0010082810151404436,random_forest
iv_ratio,0.0009084470659647951,random_forest
dispersion,0.000905321445693733,random_forest
RMW,0.000904157325181867,random_forest
skew,0.0008963634107869826,random_forest
kurt,0.000867499441652725,random_forest
CMA,0.000846038091096164,random_forest
skew_ratio,0.0007784900056002469,random_forest
SMB,0.0007476041793165696,random_forest
normative_iv_rv_ratio,0.7168464064598083,xgboost
ievr,0.26251649856567383,xgboost
smirk,0.0032799486070871353,xgboost
RF,0.0027647577226161957,xgboost
skew_ratio,0.0020472246687859297,xgboost
skew,0.0017721932381391525,xgboost
iv_ratio,0.0017589982599020004,xgboost
HML,0.00170391914434731,xgboost
CMA,0.0015102197648957372,xgboost
term_ratio,0.0014057883527129889,xgboost
dispersion,0.0012456114636734128,xgboost
RMW,0.0011850519804283977,xgboost
SMB,0.0010625998256728053,xgboost
kurt,0.0009009302593767643,xgboost
