Model,IEVR Coefficient,IEVR t-stat,IEVR p-value,R-squared,Adj R-squared,N
Model 1,0.520,10.325,0.000,0.076,0.076,1294.0
Model 2,0.313,4.845,0.000,0.151,0.115,1294.0
Model 3,0.554,10.706,0.000,0.101,0.095,1294.0
Model 4,0.313,4.845,0.000,0.151,0.115,1294.0
Model 5,0.522,10.223,0.000,0.081,0.078,1294.0
Model 6,0.492,9.510,0.000,0.065,0.065,1294.0
Model 7,N/A,N/A,N/A,0.007,0.005,1294.0
Model 8,0.522,10.223,0.000,0.081,0.078,1294.0
Model 9,0.492,9.510,0.000,0.065,0.065,1294.0
Model 10,N/A,N/A,N/A,0.007,0.005,1294.0
