Iteration,Train_Start,Train_End,Test_Start,Test_End,Train_Obs,Test_Obs,LR_R2,RF_R2,XGB_R2,LR_RMSE,RF_RMSE,XGB_RMSE,LR_MAE,RF_MAE,XGB_MAE
1,2005-01-03,2008-12-13,2008-12-13,2009-12-08,2976,711,-0.16690912400141178,-0.12649857568363743,-0.12898846510784012,0.22098071439723663,0.21712067422519368,0.21736049169478272,0.180286372836393,0.17612671639564595,0.17747439203166787
2,2005-12-29,2009-12-08,2009-12-08,2010-12-03,3041,847,0.02016961900680181,0.02421777864199859,0.012653559563541972,0.21399677755378696,0.21355425721694282,0.21481597027453306,0.1726374115033503,0.17275322453678132,0.17404556380415592
3,2006-12-24,2010-12-03,2010-12-03,2011-11-28,3172,971,-0.013543658467987774,0.0061471821410238325,-0.0034038218812488807,0.2108899524664717,0.2088313496512536,0.20983239325115574,0.16884003589400084,0.16781823300260626,0.16885328409550704
4,2007-12-19,2011-11-28,2011-11-28,2012-11-22,3309,984,-0.003014544610810521,0.00945241305779465,0.015442986167078399,0.2281931343719494,0.22677053805279854,0.22608377364038773,0.18611277601273082,0.1847136475087671,0.18482296943576143
5,2008-12-13,2012-11-22,2012-11-22,2013-11-17,3513,1141,0.021972511115331828,0.027532844004905965,0.01557757543219307,0.22620398832749516,0.22556005844087745,0.2269423126849982,0.18136504165959372,0.18090938602869572,0.18220720608406618
6,2009-12-08,2013-11-17,2013-11-17,2014-11-12,3945,1286,0.0015074885050655462,0.014753851479011648,0.019015439691464797,0.2211486155446966,0.21967679905468157,0.21920118867810576,0.17664662350527352,0.17521350423017204,0.17526547424789868
7,2010-12-03,2014-11-12,2014-11-12,2015-11-07,4382,1403,0.019715778360963276,0.018657417163185475,0.019078909611953798,0.2268752365738155,0.22699767615136726,0.2269489224929547,0.1832699462761739,0.18271243401797335,0.18294147992900614
8,2011-11-28,2015-11-07,2015-11-07,2016-11-01,4815,1369,0.03360354116259712,0.047885850500790084,0.051441950948531545,0.2386043557116427,0.23683463372713723,0.2363919370080321,0.19736495136671578,0.195857360859367,0.19545004681404796
9,2012-11-22,2016-11-01,2016-11-01,2017-10-27,5199,1478,0.018183784109660817,0.051864461127061445,0.05022071478946588,0.2434620122594437,0.23924965467806478,0.23945695386034108,0.20063375809855877,0.19557751219657157,0.19684681236557863
10,2013-11-17,2017-10-27,2017-10-27,2018-10-22,5536,1478,0.019184898886528412,0.03033559377607653,0.03338943863670707,0.22489823130453415,0.2236161650145169,0.22326376082700122,0.18609823942692408,0.18423956892349,0.18405234451297992
11,2014-11-12,2018-10-22,2018-10-22,2019-10-17,5729,1652,0.03005876446147615,0.03947744173495771,0.045175183614202585,0.2264834820792022,0.22538115823350002,0.22471169258117052,0.18391379058207558,0.18278489139129594,0.1822545780719846
12,2015-11-07,2019-10-17,2019-10-17,2020-10-11,5977,1629,0.06735437375043052,0.08224623604669223,0.079559776582251,0.23160490467447822,0.22974840783192785,0.23008442321690525,0.1921042282338545,0.1898288265028302,0.19041540839550897
13,2016-11-01,2020-10-11,2020-10-11,2021-10-06,6272,1732,-0.03605875821178017,-0.042983798490920044,-0.04517558057038529,0.2187013394857414,0.2194310245695196,0.21966146562827302,0.17549670726234115,0.17639020400523275,0.17717156440502266
14,2017-10-27,2021-10-06,2021-10-06,2022-10-01,6501,1725,0.024056229417095287,0.040181729199740945,0.03697502282709941,0.21427507869019316,0.21249747381140097,0.2128521497055846,0.1715447961444817,0.17000063636133877,0.17046436778807766
15,2018-10-22,2022-10-01,2022-10-01,2023-08-24,6742,1683,0.026052697266389035,0.02651987550939361,0.032625971605992454,0.21988385744340627,0.21983111471517935,0.21914059140875353,0.17639052525122717,0.17635833053158168,0.1759533618502294
