ticker,season,year,quarter,earnings_date,analysis_date,revr,vol_st,vol_mt,normative_realized_vol,methodology
MSFT,Q1 2005,2005,Q1,2005-01-27,2004-12-28,0.6280972162516837,0.08852771833543156,0.14094588551711998,0.18599413644211107,ST/MT Ratio (Expanding EWM)
EBAY,Q1 2005,2005,Q1,2005-01-19,2004-12-20,1.6080838529720352,0.9574462132247734,0.595395701197569,0.2433789717863777,ST/MT Ratio (Expanding EWM)
INTC,Q1 2005,2005,Q1,2005-01-11,2004-12-12,0.81978925784767,0.1800590749903928,0.2196406860259819,0.2761368013367283,ST/MT Ratio (Expanding EWM)
AAPL,Q1 2005,2005,Q1,2005-01-12,2004-12-13,1.1717261234145222,0.5554842124164769,0.4740734215242575,0.48645292655890876,ST/MT Ratio (Expanding EWM)
CSCO,Q1 2005,2005,Q1,2005-02-08,2005-01-09,1.0741003748968272,0.22959356681616372,0.21375429352979916,0.19620928167423374,ST/MT Ratio (Expanding EWM)
PFE,Q1 2005,2005,Q1,2005-01-19,2004-12-20,0.6666105448834517,0.2070457341232211,0.3105947478814941,0.4141257362472618,ST/MT Ratio (Expanding EWM)
C,Q1 2005,2005,Q1,2005-01-20,2004-12-21,1.0111329668042672,0.11303332646063516,0.11178878562122473,0.09230969173188869,ST/MT Ratio (Expanding EWM)
ORCL,Q1 2005,2005,Q1,2005-03-22,2005-02-20,1.0353722883634526,0.22500889514338313,0.21732172830223265,0.22619472517049696,ST/MT Ratio (Expanding EWM)
GE,Q1 2005,2005,Q1,2005-01-21,2004-12-22,1.101844320269392,0.10808165783309455,0.09809158684656057,0.10881836446196942,ST/MT Ratio (Expanding EWM)
AMAT,Q1 2005,2005,Q1,2005-02-15,2005-01-16,0.8681318059311921,0.20243795194580047,0.23318803730345716,0.2031011313915444,ST/MT Ratio (Expanding EWM)
QCOM,Q1 2005,2005,Q1,2005-01-19,2004-12-20,1.3073187629507146,0.39150773598205324,0.29947381394449774,0.24848556188872103,ST/MT Ratio (Expanding EWM)
XOM,Q1 2005,2005,Q1,2005-01-31,2005-01-01,1.0666844677765228,0.1536641549339853,0.14405774113716532,0.14453561079662147,ST/MT Ratio (Expanding EWM)
SIRI,Q1 2005,2005,Q1,2005-01-26,2004-12-27,0.714554928080612,0.5951442137289782,0.8328879843115957,1.0246651634551784,ST/MT Ratio (Expanding EWM)
IBM,Q1 2005,2005,Q1,2005-01-18,2004-12-19,0.850577132760186,0.08057194765107718,0.09472620947334338,0.12049202462867493,ST/MT Ratio (Expanding EWM)
AMGN,Q1 2005,2005,Q1,2005-01-27,2004-12-28,1.056791819342482,0.18999477167851708,0.17978448375643996,0.19832506874291442,ST/MT Ratio (Expanding EWM)
WMT,Q1 2005,2005,Q1,2005-02-17,2005-01-18,1.0249596097386415,0.11749684801137811,0.11463558846122637,0.12680304606015963,ST/MT Ratio (Expanding EWM)
PG,Q1 2005,2005,Q1,2005-01-27,2004-12-28,1.1681887756384246,0.19164148079630922,0.1640500960057381,0.14087011124086565,ST/MT Ratio (Expanding EWM)
BAC,Q1 2005,2005,Q1,2005-01-18,2004-12-19,1.212352487831747,0.12141395761537167,0.10014740666100878,0.08911610709699905,ST/MT Ratio (Expanding EWM)
MO,Q1 2005,2005,Q1,2005-01-26,2004-12-27,0.848275844931575,0.13549510429144376,0.15973000422094216,0.18866244649804442,ST/MT Ratio (Expanding EWM)
JNJ,Q1 2005,2005,Q1,2005-01-25,2004-12-26,1.1243382627218512,0.1780612088354218,0.15836978491184925,0.17610908546742401,ST/MT Ratio (Expanding EWM)
UPS,Q1 2005,2005,Q1,2005-01-27,2004-12-28,1.0664330345150348,0.22891807695470548,0.21465771365457278,0.09239994921948312,ST/MT Ratio (Expanding EWM)
JPM,Q1 2005,2005,Q1,2005-01-19,2004-12-20,0.89564756286476,0.08356206680318852,0.09329793354867436,0.10842620051344454,ST/MT Ratio (Expanding EWM)
AMZN,Q1 2005,2005,Q1,2005-02-02,2005-01-03,1.3788248342078258,0.7346292367679931,0.5327937374946242,0.400744170527263,ST/MT Ratio (Expanding EWM)
AIG,Q1 2005,2005,Q1,2005-02-09,2005-01-10,1.3523808614991324,0.3021100513415939,0.2233912501591459,0.21274052145266503,ST/MT Ratio (Expanding EWM)
GS,Q1 2005,2005,Q1,2005-03-17,2005-02-15,0.7990935200340931,0.0924977850960212,0.11575339153303961,0.12916754010761208,ST/MT Ratio (Expanding EWM)
VZ,Q1 2005,2005,Q1,2005-01-27,2004-12-28,1.2074172499916636,0.1942291105373134,0.16086328942099712,0.11397689685548626,ST/MT Ratio (Expanding EWM)
MRK,Q1 2005,2005,Q1,2005-01-25,2004-12-26,1.3553719025522,0.5856371635932719,0.4320859555156058,0.4586815454182349,ST/MT Ratio (Expanding EWM)
BRCM,Q1 2005,2005,Q1,2005-01-27,2004-12-28,0.9597932894385565,0.3095554422666477,0.32252303248309455,0.33400906544859826,ST/MT Ratio (Expanding EWM)
TXN,Q1 2005,2005,Q1,2005-01-25,2004-12-26,1.2887206685790167,0.38104999204467255,0.2956808262141322,0.26923416004998857,ST/MT Ratio (Expanding EWM)
SBUX,Q1 2005,2005,Q1,2005-01-26,2004-12-27,1.2340445727216256,0.31697521665919065,0.25685880693929647,0.16860800119273053,ST/MT Ratio (Expanding EWM)
MMM,Q1 2005,2005,Q1,2005-01-18,2004-12-19,1.310186723220972,0.2370956636494561,0.18096326229484183,0.16115367019840635,ST/MT Ratio (Expanding EWM)
AMD,Q1 2005,2005,Q1,2005-01-18,2004-12-19,1.2309975380511842,0.9470686900148187,0.7693505963579272,0.4806475673668965,ST/MT Ratio (Expanding EWM)
CAT,Q1 2005,2005,Q1,2005-01-27,2004-12-28,1.3596019883959354,0.29926903160689045,0.22011517647158593,0.15391402296875142,ST/MT Ratio (Expanding EWM)
CVX,Q1 2005,2005,Q1,2005-01-28,2004-12-29,0.6401664973907952,0.09864038344933958,0.15408551345842095,0.1794469998914877,ST/MT Ratio (Expanding EWM)
HAL,Q1 2005,2005,Q1,2005-01-28,2004-12-29,1.1804970380616708,0.3453390351411584,0.2925369772279915,0.26774392492649673,ST/MT Ratio (Expanding EWM)
CMCSA,Q1 2005,2005,Q1,2005-02-03,2005-01-04,0.973316884348757,0.15952689595974517,0.16390026570481625,0.1613818244998763,ST/MT Ratio (Expanding EWM)
KLAC,Q1 2005,2005,Q1,2005-01-20,2004-12-21,1.0828464158835287,0.30808578546100235,0.2845147575333898,0.2717013737072666,ST/MT Ratio (Expanding EWM)
COP,Q1 2005,2005,Q1,2005-01-26,2004-12-27,0.7330899110205823,0.132229402365061,0.18037269423197466,0.20754135838411047,ST/MT Ratio (Expanding EWM)
HD,Q1 2005,2005,Q1,2005-02-22,2005-01-23,1.3381919618810143,0.200308367571794,0.14968582481263212,0.1203277688197399,ST/MT Ratio (Expanding EWM)
UNH,Q1 2005,2005,Q1,2005-01-20,2004-12-21,1.0281835320878343,0.21724339137830223,0.21128853419502527,0.24706031432802766,ST/MT Ratio (Expanding EWM)
BIIB,Q1 2005,2005,Q1,2005-02-07,2005-01-08,0.9157886777470448,0.21797574358207691,0.2380196969876551,0.2394853108319877,ST/MT Ratio (Expanding EWM)
TWX,Q1 2005,2005,Q1,2005-02-04,2005-01-05,0.8905866828315823,0.1196065274061098,0.13430082631128726,0.14277990948226316,ST/MT Ratio (Expanding EWM)
AXP,Q1 2005,2005,Q1,2005-01-24,2004-12-25,1.3168688374193118,0.139656842247659,0.10605220374213326,0.09302611736533882,ST/MT Ratio (Expanding EWM)
