cusip8,cusip,ticker,datadate,earnings_date,fyearq,fqtr,gvkey
00088630,000886309,ADCT.1,2005-01-31,2005-02-28,2005,1,001013
00088630,000886309,ADCT.1,2005-04-30,2005-06-01,2005,2,001013
00088630,000886309,ADCT.1,2005-07-31,2005-08-30,2005,3,001013
00088630,000886309,ADCT.1,2005-10-31,2005-12-13,2005,4,001013
00088630,000886309,ADCT.1,2006-01-31,2006-03-01,2006,1,001013
00088630,000886309,ADCT.1,2006-04-30,2006-05-31,2006,2,001013
00088630,000886309,ADCT.1,2006-07-31,2006-08-29,2006,3,001013
00088630,000886309,ADCT.1,2006-10-31,2006-12-12,2006,4,001013
00088630,000886309,ADCT.1,2007-01-31,2007-03-05,2007,1,001013
00088630,000886309,ADCT.1,2007-04-30,2007-06-06,2007,2,001013
00088630,000886309,ADCT.1,2007-07-31,2007-09-06,2007,3,001013
00088630,000886309,ADCT.1,2007-10-31,2007-12-12,2007,4,001013
00088630,000886309,ADCT.1,2008-01-31,2008-03-05,2008,1,001013
00088630,000886309,ADCT.1,2008-04-30,2008-06-04,2008,2,001013
00088630,000886309,ADCT.1,2008-07-31,2008-09-04,2008,3,001013
00088630,000886309,ADCT.1,2008-10-31,2008-12-09,2008,4,001013
00088630,000886309,ADCT.1,2009-01-31,2009-03-03,2009,1,001013
00088630,000886309,ADCT.1,2009-04-30,2009-06-03,2009,2,001013
00088630,000886309,ADCT.1,2009-07-31,2009-09-01,2009,3,001013
00088630,000886309,ADCT.1,2009-12-31,2010-02-08,2010,1,001013
00088630,000886309,ADCT.1,2010-03-31,2010-05-05,2010,2,001013
00088630,000886309,ADCT.1,2010-06-30,2010-08-04,2010,3,001013
00088630,000886309,ADCT.1,2010-09-30,2010-11-23,2010,4,001013
02376R10,02376R102,AAL,2004-12-31,2005-01-19,2004,4,001045
02376R10,02376R102,AAL,2005-03-31,2005-04-20,2005,1,001045
02376R10,02376R102,AAL,2005-06-30,2005-07-20,2005,2,001045
02376R10,02376R102,AAL,2005-09-30,2005-10-19,2005,3,001045
02376R10,02376R102,AAL,2005-12-31,2006-01-18,2005,4,001045
02376R10,02376R102,AAL,2006-03-31,2006-04-19,2006,1,001045
02376R10,02376R102,AAL,2006-06-30,2006-07-19,2006,2,001045
02376R10,02376R102,AAL,2006-09-30,2006-10-18,2006,3,001045
02376R10,02376R102,AAL,2006-12-31,2007-01-17,2006,4,001045
02376R10,02376R102,AAL,2007-03-31,2007-04-18,2007,1,001045
02376R10,02376R102,AAL,2007-06-30,2007-07-18,2007,2,001045
02376R10,02376R102,AAL,2007-09-30,2007-10-17,2007,3,001045
02376R10,02376R102,AAL,2007-12-31,2008-01-16,2007,4,001045
02376R10,02376R102,AAL,2008-03-31,2008-04-16,2008,1,001045
02376R10,02376R102,AAL,2008-06-30,2008-07-16,2008,2,001045
02376R10,02376R102,AAL,2008-09-30,2008-10-15,2008,3,001045
02376R10,02376R102,AAL,2008-12-31,2009-01-21,2008,4,001045
02376R10,02376R102,AAL,2009-03-31,2009-04-15,2009,1,001045
02376R10,02376R102,AAL,2009-06-30,2009-07-15,2009,2,001045
02376R10,02376R102,AAL,2009-09-30,2009-10-21,2009,3,001045
02376R10,02376R102,AAL,2009-12-31,2010-01-20,2009,4,001045
02376R10,02376R102,AAL,2010-03-31,2010-04-21,2010,1,001045
02376R10,02376R102,AAL,2010-06-30,2010-07-21,2010,2,001045
02376R10,02376R102,AAL,2010-09-30,2010-10-20,2010,3,001045
02376R10,02376R102,AAL,2010-12-31,2011-01-19,2010,4,001045
02376R10,02376R102,AAL,2011-03-31,2011-04-20,2011,1,001045
02376R10,02376R102,AAL,2011-06-30,2011-07-20,2011,2,001045
02376R10,02376R102,AAL,2011-09-30,2011-10-19,2011,3,001045
02376R10,02376R102,AAL,2011-12-31,2012-02-15,2011,4,001045
