ticker,earnings_date,analysis_date_revr,season,year,quarter,revr,analysis_date_ievr,closest_quote_date,days_to_earnings,ievr,avg_pre,avg_post,skew_ratio,vol_st,vol_mt,normative_realized_vol,methodology,permno,company_name,cusip,ret,vol_hl5,vol_hl7,vol_hl10,vol_hl21,vol_hl63,vol_hl126,vol_date_match_type,vol_date_diff_days,SKEW,KURT,IV_RATIO,SMIRK,surface_date,options_date_match_type,options_date_diff_days
MSFT,2005-01-27,2004-12-28,Q1 2005,2005,Q1,0.6280972162516837,2004-12-29,2004-12-29,29,1.3506460394614557,0.121587,0.164221,1.0130998939414029,0.0885277183354315,0.1409458855171199,0.185994136442111,ST/MT Ratio (Expanding EWM),10107.0,MICROSOFT CORP,59491810,0.000749,0.000749,0.000749,0.000749,0.000749,0.000749,0.000749,closest,5.0,-0.9028411056256094,0.8721188012955573,0.803392838533854,0.8297692354590904,2004-12-29 00:00:00,exact,0.0
ORCL,2005-03-22,2005-02-20,Q1 2005,2005,Q1,1.0353722883634526,2005-02-21,2005-02-22,29,0.9603705778366228,0.274922,0.264027,0.8882520379051982,0.2250088951433831,0.2173217283022326,0.2261947251704969,ST/MT Ratio (Expanding EWM),10104.0,ORACLE CORP,68389X10,-0.021638,0.0153018245738616,0.0151065404750156,0.0150007350145285,0.0149320284190511,0.0149289970627914,0.0149333228819528,exact,0.0,0.1056602466998486,0.1255658948279592,0.9929485824106498,-0.0423272779804254,2005-02-22 00:00:00,exact,0.0
XOM,2005-01-31,2005-01-01,Q1 2005,2005,Q1,1.0666844677765228,2004-12-31,2004-12-31,31,1.0799864672318331,0.153701,0.165995,1.0105591899799466,0.1536641549339853,0.1440577411371653,0.1445356107966214,ST/MT Ratio (Expanding EWM),11850.0,EXXON MOBIL CORP,30231G10,-0.022825,0.022825,0.022825,0.022825,0.022825,0.022825,0.022825,closest,3.0,0.056471928054615,0.0096430582977956,0.993750884163781,0.0014979561784345,2004-12-31 00:00:00,exact,0.0
SIRI,2005-01-26,2004-12-27,Q1 2005,2005,Q1,0.714554928080612,2004-12-28,2004-12-28,29,1.279216836001776,0.612592,0.783638,0.998207569921068,0.5951442137289782,0.8328879843115957,1.0246651634551784,ST/MT Ratio (Expanding EWM),80924.0,SIRIUS SATELLITE RADIO INC,82993310,,,,,,,,no_match,,0.2744961015724242,0.2913632876049425,0.7405317854751553,0.0060378149525645,2004-12-28 00:00:00,exact,0.0
AMGN,2005-01-27,2004-12-28,Q1 2005,2005,Q1,1.056791819342482,2004-12-29,2004-12-29,29,1.168147373198935,0.180657,0.211034,0.98183685780901,0.189994771678517,0.1797844837564399,0.1983250687429144,ST/MT Ratio (Expanding EWM),14008.0,AMGEN INC,03116210,0.002026,0.002026,0.002026,0.002026,0.002026,0.002026,0.002026,closest,5.0,-0.2137888844871681,0.4420764983143204,0.953786955784149,0.3165190069572838,2004-12-29 00:00:00,exact,0.0
PG,2005-01-27,2004-12-28,Q1 2005,2005,Q1,1.1681887756384246,2004-12-29,2004-12-29,29,1.0268515390243411,0.1489796666666666,0.15298,1.2408140192198984,0.1916414807963092,0.1640500960057381,0.1408701112408656,ST/MT Ratio (Expanding EWM),18163.0,PROCTER & GAMBLE CO,74271810,0.001997,0.001997,0.001997,0.001997,0.001997,0.001997,0.001997,closest,5.0,-0.2392367497074066,0.2183790336064204,0.9752856167385168,0.1923183517308041,2004-12-29 00:00:00,exact,0.0
MO,2005-01-26,2004-12-27,Q1 2005,2005,Q1,0.848275844931575,2004-12-28,2004-12-28,29,0.95486033682933,0.273551,0.261203,1.0019999633706342,0.1354951042914437,0.1597300042209421,0.1886624464980444,ST/MT Ratio (Expanding EWM),13901.0,ALTRIA GROUP INC,02209S10,,,,,,,,no_match,,-0.2382568533199544,-0.1021975630180801,1.011623068497547,0.0681084511147266,2004-12-28 00:00:00,exact,0.0
JNJ,2005-01-25,2004-12-26,Q1 2005,2005,Q1,1.1243382627218512,2004-12-27,2004-12-27,29,1.0500810535527278,0.139414,0.146396,0.9420565041996364,0.1780612088354218,0.1583697849118492,0.176109085467424,ST/MT Ratio (Expanding EWM),22111.0,JOHNSON & JOHNSON,47816010,,,,,,,,no_match,,-0.2853153378779406,0.3216744830709377,1.151761935244237,0.273552461335282,2004-12-27 00:00:00,exact,0.0
UPS,2005-01-27,2004-12-28,Q1 2005,2005,Q1,1.0664330345150348,2004-12-29,2004-12-29,29,1.0598985482440442,0.128534,0.136233,0.9821727402630152,0.2289180769547054,0.2146577136545727,0.0923999492194831,ST/MT Ratio (Expanding EWM),87447.0,UNITED PARCEL SERVICE INC,91131210,-0.005383,0.005383,0.005383,0.005383,0.005383,0.005383,0.005383,closest,5.0,-0.0292402906090232,-0.0085358926062134,0.9962877876778382,-0.0102146915822155,2004-12-29 00:00:00,exact,0.0
AMZN,2005-02-02,2005-01-03,Q1 2005,2005,Q1,1.3788248342078258,2005-01-04,2005-01-04,29,1.232031627831093,0.343242,0.422885,0.9710283097065489,0.7346292367679931,0.5327937374946242,0.400744170527263,ST/MT Ratio (Expanding EWM),84788.0,AMAZON COM INC,02313510,-0.053459,0.0392475549380463,0.0388900803699038,0.0386193222100439,0.0382854242289726,0.0380815244938499,0.038030372938522,exact,0.0,-0.0204449498554336,0.0587604795490016,1.08773347299385,0.027879115542595,2005-01-04 00:00:00,exact,0.0
