ticker,earnings_date,analysis_date,closest_quote_date,days_to_earnings,ievr,avg_pre,avg_post,skew_ratio
AKS,2005-01-25,2004-12-26,2004-12-27,30,1.1437147496967,0.525882,0.601459,1.0245119812974868
ASH,2005-01-25,2004-12-26,2004-12-27,30,0.9813262720526362,0.210349,0.206421,1.0027219250827066
CSX,2005-01-25,2004-12-26,2004-12-27,30,1.0513058342479191,0.205922,0.216487,0.988114146421048
DOV,2005-01-25,2004-12-26,2004-12-27,30,0.9770068757969488,0.243899,0.238291,0.9310543594441899
EAT,2005-01-25,2004-12-26,2004-12-27,30,1.3165330107671402,0.133926,0.176318,1.045978178523731
EXC,2005-01-25,2004-12-26,2004-12-27,30,1.1247300791767747,0.150044,0.168759,1.002820440844261
HYSL,2005-01-25,2004-12-26,2004-12-27,30,1.0705716441658493,0.353839,0.37881,0.9827878323278783
JNJ,2005-01-25,2004-12-26,2004-12-27,30,1.0500810535527278,0.139414,0.146396,0.9420565041996365
MCHP,2005-01-25,2004-12-26,2004-12-27,30,1.1367194427627032,0.327042,0.371755,0.9786753968063967
MRK,2005-01-25,2004-12-26,2004-12-27,30,1.1051161254512676,0.217997,0.240912,0.9371257356323321
NFB,2005-01-25,2004-12-26,2004-12-27,30,0.9240832224482409,0.196149,0.181258,0.8717888318014542
SGP,2005-01-25,2004-12-26,2004-12-27,30,1.17948687121285,0.249528,0.294315,1.011377223665598
SGTL,2005-01-25,2004-12-26,2004-12-27,30,1.0908112745620833,0.421941,0.460258,0.9551881666877954
AFFX,2005-01-26,2004-12-27,2004-12-27,30,1.0043162848148814,0.433938,0.435811,1.0299242873756913
APD,2005-01-26,2004-12-27,2004-12-27,30,1.092376925549539,0.161772,0.176716,0.9992340761970647
BCR,2005-01-26,2004-12-27,2004-12-27,30,1.0070991070016984,0.196081,0.197473,0.9878384845965893
BDK,2005-01-26,2004-12-27,2004-12-27,30,1.1504218456292712,0.205881,0.23685,0.9732945681463623
BDX,2005-01-26,2004-12-27,2004-12-27,30,1.0130612986690006,0.209091,0.211822,0.9854090966930115
HSY,2005-01-26,2004-12-27,2004-12-27,30,1.0958586345381525,0.155625,0.170543,0.9273439082815909
LIN,2005-01-26,2004-12-27,2004-12-27,30,1.1951276232893122,0.283804,0.339182,0.9429487498961708
MO,2005-01-26,2004-12-27,2004-12-27,30,1.0174483297426549,0.253434,0.257856,0.9850359913558557
NSC,2005-01-26,2004-12-27,2004-12-27,30,1.1720086694164376,0.209472,0.245503,1.013361714479222
ROK,2005-01-26,2004-12-27,2004-12-27,30,1.0474172659723673,0.201066,0.2106,1.001264864649523
SBUX,2005-01-26,2004-12-27,2004-12-27,30,1.164831589895852,0.218247,0.254221,0.9668240776836659
T,2005-01-26,2004-12-27,2004-12-27,30,1.0446093746784066,0.242931,0.253768,1.0011126633451606
VRSN,2005-01-26,2004-12-27,2004-12-27,30,1.056354309324296,0.43081,0.455088,0.9712377809039426
WBSN,2005-01-26,2004-12-27,2004-12-27,30,1.0925263547017807,0.392245,0.428538,0.9361969750129483
WWY,2005-01-26,2004-12-27,2004-12-27,30,1.1107858770760974,0.137337,0.152552,0.980341349551363
AEP,2005-01-27,2004-12-28,2004-12-28,30,0.987975321077814,0.15884,0.15693,0.9980584232386003
AMGN,2005-01-27,2004-12-28,2004-12-28,30,1.1746846280863081,0.179867,0.211287,0.9807254010316135
APA,2005-01-27,2004-12-28,2004-12-28,30,1.1603825994541195,0.248406,0.288246,0.9886530524522699
