gvkey,linkprim,liid,linktype,lpermno,lpermco,linkdt,linkenddt
012136,P,01,LC,10078.0,8021.0,1986-03-04,2010-01-29
012142,P,01,LC,10104.0,8045.0,1986-03-12,
012141,P,01,LC,10107.0,8048.0,1986-03-13,
012144,P,01,LU,10108.0,8049.0,1986-03-13,2005-08-31
001279,C,00X,LU,10137.0,20045.0,1951-01-01,1962-01-30
001279,P,01,LU,10137.0,20045.0,1962-01-31,2011-02-28
012138,P,01,LU,10138.0,8087.0,1986-04-02,
012180,P,01,LC,10143.0,8092.0,1986-04-03,2010-06-08
001300,C,00X,LC,10145.0,22168.0,1950-01-01,1962-01-30
001300,P,01,LC,10145.0,22168.0,1962-01-31,
012053,P,01,LC,10147.0,8093.0,1986-04-04,2016-09-06
014304,P,01,LU,10180.0,9743.0,1988-04-08,2020-10-05
012181,P,01,LU,10200.0,8135.0,1986-04-29,
001408,C,00X,LC,10225.0,20067.0,1950-01-01,1962-01-30
001408,P,01,LC,10225.0,20067.0,1962-01-31,2014-04-30
012381,P,01,LC,10258.0,8186.0,1986-05-15,2008-03-09
179598,P,01,LC,10258.0,8186.0,2008-03-10,
012234,P,01,LU,10259.0,8187.0,1986-05-15,2020-08-31
012216,P,01,LU,10299.0,8220.0,1986-05-28,2017-03-31
012215,P,01,LU,10302.0,8222.0,1986-05-29,2020-04-30
012233,P,01,LC,10324.0,8243.0,1986-06-05,2011-04-29
004675,P,01,LU,10342.0,8265.0,1986-06-10,2006-03-31
001581,C,00X,LC,10401.0,20103.0,1950-01-01,1962-01-30
001581,P,01,LC,10401.0,20103.0,1962-01-31,2005-11-18
001722,C,00X,LC,10516.0,20207.0,1949-07-01,1962-01-30
001722,P,01,LC,10516.0,20207.0,1962-01-31,
017130,P,01,LC,10562.0,8470.0,1986-08-12,2009-01-29
012597,P,01,LU,10645.0,8549.0,1986-09-09,
013025,P,01,LC,10657.0,8561.0,1986-09-15,2007-03-30
012635,P,01,LC,10696.0,8598.0,1986-09-25,
004690,P,01,LC,10777.0,8674.0,1986-10-22,
002444,C,00X,LU,10874.0,20344.0,1950-01-01,1962-01-30
002444,P,01,LU,10874.0,20344.0,1962-01-31,
002504,C,00X,LU,10890.0,21814.0,1950-01-01,1962-01-30
002504,P,01,LU,10890.0,21814.0,1962-01-31,
012850,P,01,LU,10909.0,8786.0,1987-01-30,2022-06-30
012884,P,01,LC,10942.0,8818.0,1986-12-15,2007-01-31
012884,P,01,LC,10942.0,8818.0,2011-09-23,
014489,P,01,LC,11081.0,9833.0,1988-06-22,2013-10-31
003144,C,00X,LU,11308.0,20468.0,1950-01-01,1962-01-30
003144,P,01,LU,11308.0,20468.0,1962-01-31,
013323,P,01,LU,11343.0,9188.0,1987-05-19,2022-07-29
013380,P,01,LC,11382.0,9225.0,1987-06-03,2013-11-04
013421,P,01,LU,11403.0,9245.0,1987-06-10,
003413,C,00X,LU,11404.0,20499.0,1951-01-01,1962-01-30
003413,P,01,LU,11404.0,20499.0,1962-01-31,
013365,P,01,LC,11415.0,9252.0,1987-06-12,2008-12-22
013824,P,01,LU,11533.0,9360.0,1987-07-22,
013599,P,01,LU,11552.0,9374.0,1987-09-30,2019-11-29
013700,P,01,LC,11600.0,9424.0,1987-08-12,
014225,P,01,LU,11618.0,9440.0,1987-08-20,
023002,P,02,LC,11644.0,9465.0,1987-08-28,2018-08-13
034010,P,01,LC,11644.0,9465.0,2018-08-14,
003897,P,01,LC,11674.0,20574.0,1962-01-31,
065089,P,01,LD,11674.0,20574.0,1962-01-31,1980-12-31
004087,C,00X,LC,11703.0,20606.0,1950-01-01,1962-01-30
004087,P,01,LC,11703.0,20606.0,1962-01-31,2017-08-31
014561,P,01,LC,11752.0,9558.0,1987-10-02,
004194,C,00X,LC,11754.0,20626.0,1950-01-01,1962-01-30
004194,P,01,LC,11754.0,20626.0,1962-01-31,2012-01-18
004199,C,00X,LS,11762.0,20627.0,1950-01-01,1962-01-30
004199,P,01,LS,11762.0,20627.0,1962-01-31,
017120,P,01,LC,11786.0,9588.0,1987-10-23,2024-11-07
004503,C,00X,LC,11850.0,20678.0,1950-01-01,1962-01-30
004503,P,01,LC,11850.0,20678.0,1962-01-31,
014418,P,01,LU,11891.0,9764.0,1988-05-02,
014256,P,01,LC,11896.0,9698.0,1988-02-29,2007-10-01
014256,P,01,LC,11896.0,9698.0,2008-10-08,2021-08-31
014385,P,01,LU,11927.0,9777.0,1988-05-12,2008-03-31
014477,P,01,LU,11955.0,9804.0,1988-06-03,
014565,P,01,LC,11970.0,9873.0,1988-07-22,2007-02-28
014650,P,01,LC,11976.0,9905.0,1988-08-12,
179741,P,01,LC,11990.0,53463.0,2010-07-15,
007509,P,02,LC,11999.0,53465.0,2010-07-29,2016-08-31
184603,P,01,LC,12026.0,53476.0,2010-07-16,2016-08-31
005046,C,00X,LC,12052.0,20791.0,1954-01-01,1962-01-30
005046,P,01,LC,12052.0,20791.0,1962-01-31,
005047,C,00X,LC,12060.0,20792.0,1950-01-01,1962-01-30
005047,P,01,LC,12060.0,20792.0,1962-01-31,
014960,P,01,LC,12062.0,9848.0,1988-07-07,
014623,P,01,LU,12067.0,9903.0,1988-08-11,
016245,P,01,LC,12073.0,9847.0,1988-07-06,2022-04-29
014908,P,01,LC,12074.0,9921.0,1988-09-06,2011-05-31
005073,C,00X,LC,12079.0,20799.0,1950-01-01,1962-01-30
005073,P,01,LC,12079.0,20799.0,1962-01-31,2009-06-01
005073,N,01C,LX,12079.0,20799.0,1997-01-31,2008-07-31
184797,P,01,LC,12089.0,53497.0,2010-08-12,2021-04-30
005229,C,00X,LU,12140.0,20833.0,1950-01-01,1962-01-30
005229,P,01,LU,12140.0,20833.0,1962-01-31,2012-07-31
015261,P,01,LC,12169.0,10053.0,1988-12-19,2016-10-31
126136,P,03,LC,12308.0,17322.0,2010-09-14,
177313,P,01,LC,12347.0,53532.0,2010-10-22,2016-11-30
185419,P,01,LC,12360.0,53544.0,2010-10-27,
185881,P,01,LC,12366.0,53550.0,2010-11-17,
005073,P,19,LC,12369.0,53554.0,2010-11-18,
005073,N,19C,LX,12369.0,53554.0,2014-03-31,
185112,P,01,LC,12374.0,53557.0,2010-11-11,2021-04-30
179438,P,01,LC,12392.0,53570.0,2010-11-24,2016-06-30
178519,P,01,LC,12400.0,53576.0,2010-11-18,
179686,P,01,LC,12413.0,53585.0,2010-11-23,2022-03-31
014275,P,04,LC,12448.0,53609.0,2010-12-09,
184700,P,01,LC,12449.0,53610.0,2010-12-15,
186106,P,01,LC,12456.0,53616.0,2011-01-04,2012-05-31
185318,P,01,LC,12473.0,53620.0,2010-12-16,2017-09-10
030861,P,01,LC,12473.0,53620.0,2017-09-11,
185532,P,01,LC,12476.0,53621.0,2010-12-07,
006066,C,00X,LC,12490.0,20990.0,1950-01-01,1962-01-30
006066,P,01,LC,12490.0,20990.0,1962-01-31,
006081,C,00X,LC,12503.0,21265.0,1949-11-01,1962-01-30
006081,P,01,LC,12503.0,21265.0,1962-01-31,2007-02-13
006081,P,01,LC,12503.0,21265.0,2008-06-30,2021-07-30
180683,P,01,LC,12527.0,53652.0,2011-01-04,
006310,P,04,LC,12558.0,53667.0,2011-02-11,
005860,C,00X,LC,12570.0,20964.0,1950-01-01,1962-01-30
005860,P,01,LC,12570.0,20964.0,1962-01-31,
185428,P,01,LC,12575.0,53675.0,2011-02-04,2018-12-31
186437,P,01,LC,12579.0,53678.0,2011-02-09,
185836,P,01,LC,12583.0,53682.0,2011-02-03,
184254,P,01,LC,12591.0,53688.0,2011-03-30,
022260,P,04,LC,12622.0,53696.0,2011-03-10,
186310,P,01,LC,12623.0,53697.0,2011-03-31,
006335,C,00X,LC,12650.0,21033.0,1963-01-01,1963-01-30
006335,P,01,LC,12650.0,21033.0,1963-01-31,2021-12-31
185645,P,01,LC,12660.0,53710.0,2011-04-01,2020-10-31
186342,P,01,LC,12742.0,53751.0,2011-05-19,2016-12-07
187215,P,02,LC,12792.0,53773.0,2011-05-27,2021-03-31
185624,P,01,LC,12796.0,53776.0,2011-05-31,
186683,P,01,LC,12865.0,53808.0,2011-06-10,2014-07-31
186989,P,01,LC,12872.0,53810.0,2011-06-23,
186520,P,01,LC,12873.0,53811.0,2011-06-15,2019-01-31
186714,P,01,LC,12882.0,53818.0,2011-06-29,2015-12-31
174222,P,01,LC,12914.0,53843.0,2011-07-27,2020-12-31
187039,P,01,LC,12927.0,53853.0,2011-07-20,2017-12-31
187039,J,01,LC,12927.0,53853.0,2018-01-01,
188255,P,01,LC,12981.0,53876.0,2011-10-04,
032280,P,01,LC,13008.0,53884.0,2011-09-26,2016-12-30
189491,P,01,LC,13035.0,53896.0,2011-11-01,
187490,P,01,LC,13080.0,53919.0,2011-11-09,2019-01-31
185180,P,01,LC,13081.0,53920.0,2011-11-16,2017-05-31
007127,C,00X,LC,13100.0,21172.0,1950-02-01,1962-01-30
007127,P,01,LC,13100.0,21172.0,1962-01-31,2005-08-29
192255,P,01,LC,13105.0,53929.0,2011-11-01,
196055,P,01,LC,13107.0,53931.0,2011-11-16,2023-07-31
187363,P,01,LC,13108.0,53932.0,2011-11-04,
187698,P,01,LC,13116.0,53938.0,2011-12-15,
187961,P,01,LC,13124.0,53941.0,2011-12-15,
187128,P,01,LC,13141.0,53947.0,2012-01-03,2021-01-29
199356,P,01,LC,13168.0,53964.0,2011-12-21,
187576,P,01,LC,13169.0,53965.0,2011-12-16,2022-05-31
170527,P,01,LC,13188.0,53972.0,2012-02-06,
187692,P,01,LC,13201.0,53977.0,2012-01-19,2022-06-30
