ticker,earnings_date,analysis_date_revr,season,year,quarter,revr,analysis_date_ievr,closest_quote_date,days_to_earnings,ievr,avg_pre,avg_post,skew_ratio,vol_st,vol_mt,normative_realized_vol,methodology
MSFT,2005-01-27,2004-12-28,Q1 2005,2005,Q1,0.6280972162516837,2004-12-29,2004-12-29,29,1.3506460394614557,0.121587,0.164221,1.0130998939414029,0.0885277183354315,0.1409458855171199,0.185994136442111,ST/MT Ratio (Expanding EWM)
ORCL,2005-03-22,2005-02-20,Q1 2005,2005,Q1,1.0353722883634526,2005-02-21,2005-02-22,29,0.9603705778366228,0.274922,0.264027,0.8882520379051982,0.2250088951433831,0.2173217283022326,0.2261947251704969,ST/MT Ratio (Expanding EWM)
XOM,2005-01-31,2005-01-01,Q1 2005,2005,Q1,1.0666844677765228,2004-12-31,2004-12-31,31,1.0799864672318331,0.153701,0.165995,1.0105591899799466,0.1536641549339853,0.1440577411371653,0.1445356107966214,ST/MT Ratio (Expanding EWM)
SIRI,2005-01-26,2004-12-27,Q1 2005,2005,Q1,0.714554928080612,2004-12-28,2004-12-28,29,1.279216836001776,0.612592,0.783638,0.998207569921068,0.5951442137289782,0.8328879843115957,1.0246651634551784,ST/MT Ratio (Expanding EWM)
AMGN,2005-01-27,2004-12-28,Q1 2005,2005,Q1,1.056791819342482,2004-12-29,2004-12-29,29,1.168147373198935,0.180657,0.211034,0.98183685780901,0.189994771678517,0.1797844837564399,0.1983250687429144,ST/MT Ratio (Expanding EWM)
PG,2005-01-27,2004-12-28,Q1 2005,2005,Q1,1.1681887756384246,2004-12-29,2004-12-29,29,1.0268515390243411,0.1489796666666666,0.15298,1.2408140192198984,0.1916414807963092,0.1640500960057381,0.1408701112408656,ST/MT Ratio (Expanding EWM)
MO,2005-01-26,2004-12-27,Q1 2005,2005,Q1,0.848275844931575,2004-12-28,2004-12-28,29,0.95486033682933,0.273551,0.261203,1.0019999633706342,0.1354951042914437,0.1597300042209421,0.1886624464980444,ST/MT Ratio (Expanding EWM)
JNJ,2005-01-25,2004-12-26,Q1 2005,2005,Q1,1.1243382627218512,2004-12-27,2004-12-27,29,1.0500810535527278,0.139414,0.146396,0.9420565041996364,0.1780612088354218,0.1583697849118492,0.176109085467424,ST/MT Ratio (Expanding EWM)
UPS,2005-01-27,2004-12-28,Q1 2005,2005,Q1,1.0664330345150348,2004-12-29,2004-12-29,29,1.0598985482440442,0.128534,0.136233,0.9821727402630152,0.2289180769547054,0.2146577136545727,0.0923999492194831,ST/MT Ratio (Expanding EWM)
AMZN,2005-02-02,2005-01-03,Q1 2005,2005,Q1,1.3788248342078258,2005-01-04,2005-01-04,29,1.232031627831093,0.343242,0.422885,0.9710283097065489,0.7346292367679931,0.5327937374946242,0.400744170527263,ST/MT Ratio (Expanding EWM)
AIG,2005-02-09,2005-01-10,Q1 2005,2005,Q1,1.3523808614991324,2005-01-11,2005-01-11,29,1.1482444228903976,0.1675375,0.192374,1.0600688732944394,0.3021100513415939,0.2233912501591459,0.212740521452665,ST/MT Ratio (Expanding EWM)
VZ,2005-01-27,2004-12-28,Q1 2005,2005,Q1,1.2074172499916636,2004-12-29,2004-12-29,29,1.0358204791890464,0.168493,0.1745285,1.1092115462127554,0.1942291105373134,0.1608632894209971,0.1139768968554862,ST/MT Ratio (Expanding EWM)
MRK,2005-01-25,2004-12-26,Q1 2005,2005,Q1,1.3553719025522,2004-12-27,2004-12-27,29,1.1051161254512676,0.217997,0.240912,0.937125735632332,0.5856371635932719,0.4320859555156058,0.4586815454182349,ST/MT Ratio (Expanding EWM)
BRCM,2005-01-27,2004-12-28,Q1 2005,2005,Q1,0.9597932894385564,2004-12-29,2004-12-29,29,1.2008051507202873,0.356455,0.428033,1.0136439769434422,0.3095554422666477,0.3225230324830945,0.3340090654485982,ST/MT Ratio (Expanding EWM)
SBUX,2005-01-26,2004-12-27,Q1 2005,2005,Q1,1.2340445727216256,2004-12-28,2004-12-28,29,1.1419124608859206,0.235529,0.2689535,1.0917794769040754,0.3169752166591906,0.2568588069392964,0.1686080011927305,ST/MT Ratio (Expanding EWM)
CAT,2005-01-27,2004-12-28,Q1 2005,2005,Q1,1.3596019883959354,2004-12-29,2004-12-29,29,1.2445531848049345,0.1686995,0.2099555,1.1039333728438192,0.2992690316068904,0.2201151764715859,0.1539140229687514,ST/MT Ratio (Expanding EWM)
CVX,2005-01-28,2004-12-29,Q1 2005,2005,Q1,0.6401664973907952,2004-12-30,2004-12-30,29,1.1292897696266293,0.1618676666666666,0.1827955,1.1619246008443618,0.0986403834493395,0.1540855134584209,0.1794469998914877,ST/MT Ratio (Expanding EWM)
HAL,2005-01-28,2004-12-29,Q1 2005,2005,Q1,1.1804970380616708,2004-12-30,2004-12-30,29,1.177242491021874,0.24504,0.2884715,1.0578079764145742,0.3453390351411584,0.2925369772279915,0.2677439249264967,ST/MT Ratio (Expanding EWM)
CMCSA,2005-02-03,2005-01-04,Q1 2005,2005,Q1,0.973316884348757,2005-01-05,2005-01-05,29,1.0674927678185009,0.219505,0.23432,1.020801555117378,0.1595268959597451,0.1639002657048162,0.1613818244998763,ST/MT Ratio (Expanding EWM)
COP,2005-01-26,2004-12-27,Q1 2005,2005,Q1,0.7330899110205823,2004-12-28,2004-12-28,29,1.069543656488946,0.1828995,0.195619,1.120505744994145,0.132229402365061,0.1803726942319746,0.2075413583841104,ST/MT Ratio (Expanding EWM)
HD,2005-02-22,2005-01-23,Q1 2005,2005,Q1,1.3381919618810143,2005-01-24,2005-01-24,29,1.0837602032317175,0.192096,0.208186,0.9754730203223546,0.200308367571794,0.1496858248126321,0.1203277688197399,ST/MT Ratio (Expanding EWM)
BIIB,2005-02-07,2005-01-08,Q1 2005,2005,Q1,0.9157886777470448,2005-01-07,2005-01-07,31,1.2140606308172617,0.274184,0.332876,0.9834680210765692,0.2179757435820769,0.2380196969876551,0.2394853108319877,ST/MT Ratio (Expanding EWM)
