window_id,train_start,train_end,val_start,val_end,test_start,test_end,train_obs,val_obs,test_obs,intercept,slope,val_r2,val_rmse,val_mae,test_r2,test_rmse,test_mae,train_end_year
1,2005-01,2009-12,2010-01,2010-06,2010-07,2010-12,4112,449,482,0.5913764945170951,0.4847590033183873,-0.17154571443101108,0.5735388206926805,0.4201081739497945,-0.01269950684481147,0.32455839238070894,0.23840562713270588,2009
2,2005-07,2010-06,2010-07,2010-12,2011-01,2011-06,4185,482,523,0.4861800542815462,0.6012984020169793,-0.04272455501981676,0.3293345882221047,0.24694440185246136,-0.009171354448389568,0.3508784228125621,0.2636910160375938,2010
3,2006-01,2010-12,2011-01,2011-06,2011-07,2011-12,4319,523,500,0.49079561886771017,0.5963933144026878,-0.00941393652533895,0.35092059191583697,0.2635865484909289,-0.28374101792699946,0.7695396226272333,0.5640232763620543,2010
4,2006-07,2011-06,2011-07,2011-12,2012-01,2012-06,4442,500,544,0.5011856211336277,0.5893082759410665,-0.2797575422042027,0.7683447460549306,0.563683530069194,-0.0026264893879108797,0.36691789450805334,0.27770498726406023,2011
5,2007-01,2011-12,2012-01,2012-06,2012-07,2012-12,4594,544,516,0.37293025843315264,0.7483527001853082,-0.07933824868814288,0.38069580325315194,0.30016470468829415,-0.1362572252944887,0.3748322939826968,0.30026261395358705,2011
6,2007-07,2012-06,2012-07,2012-12,2013-01,2013-06,4704,516,579,0.3513173595507114,0.7532338651559548,-0.10995298787281427,0.3704682247057572,0.29512668428273536,-0.04887533652049747,0.4064486483878427,0.32042734538573764,2012
7,2008-01,2012-12,2013-01,2013-06,2013-07,2013-12,4810,579,575,0.42451570275163486,0.6624145074052005,-0.01559980582540832,0.3999494017906186,0.3096612815615917,0.01805737536055274,0.3694779573391915,0.2724282250299191,2012
8,2008-07,2013-06,2013-07,2013-12,2014-01,2014-06,4922,575,600,0.49422318457913594,0.6053413913192751,0.01528427293700041,0.36999931053234486,0.27368071986819087,-0.10328105672338395,0.36689094595534616,0.2990427892251915,2013
9,2009-01,2013-12,2014-01,2014-06,2014-07,2014-12,5106,600,626,0.5879126723749283,0.5262476486018348,-0.10507058894327481,0.36718837567317336,0.30001182511337704,-0.045220040029324116,0.39667563889687657,0.3189296805247962,2013
10,2009-07,2014-06,2014-07,2014-12,2015-01,2015-06,5246,626,690,0.6598310105951672,0.4586747255678114,-0.03930110238756779,0.39555088445180836,0.31705352336519255,0.006863012255488021,0.33704996167445167,0.25824813819605774,2014
11,2010-01,2014-12,2015-01,2015-06,2015-07,2015-12,5478,690,670,0.6217076694151523,0.4878937506808087,0.01281616806185848,0.3360382548748365,0.25644241230662895,-0.04081757958838117,0.4448393001991976,0.3284636444023239,2014
12,2010-07,2015-06,2015-07,2015-12,2016-01,2016-06,5713,670,703,0.6018306859382907,0.48642911740756856,-0.06866933708640843,0.4507518456552436,0.330890289004257,0.0756238568803369,0.3335442776073162,0.24779083379742256,2015
13,2011-01,2015-12,2016-01,2016-06,2016-07,2016-12,5905,703,704,0.6894588174750176,0.42723759449773596,0.06180557395557584,0.33602806736852175,0.25424198594467096,-0.0444062821206892,0.5282529611417452,0.40383946713321117,2015
14,2011-07,2016-06,2016-07,2016-12,2017-01,2017-06,6081,704,712,0.6149180344274923,0.48821310443418503,-0.04853877953075547,0.5292970226674717,0.4038117671730543,0.0014770970788594573,0.4272135517827491,0.30828710874808035,2016
15,2012-01,2016-12,2017-01,2017-06,2017-07,2017-12,6295,712,727,0.5969972046046106,0.4912911382748996,-0.011788743828311965,0.4300420535976081,0.3084823620232943,-0.0970267924845758,0.4914297483078908,0.34542723921586105,2016
16,2012-07,2017-06,2017-07,2017-12,2018-01,2018-06,6460,727,762,0.573794720708503,0.5236502681540287,-0.07417673590074836,0.4862848019354628,0.34355944180160747,0.021813108543216053,0.49166887510545076,0.3618859687884218,2017
17,2013-01,2017-12,2018-01,2018-06,2018-07,2018-12,6677,762,771,0.4984875206541447,0.6080526044878669,0.04142169489810099,0.4867159682239691,0.361846025140376,0.027953486984692355,0.3715243705376504,0.2775763843672582,2017
18,2013-07,2018-06,2018-07,2018-12,2019-01,2019-06,6867,771,780,0.4348950200552536,0.6746549951408226,0.026301806537985972,0.3718398796622364,0.2802514902714248,0.08948443921612803,0.43156157084527497,0.3264950103431467,2018
19,2014-01,2018-12,2019-01,2019-06,2019-07,2019-12,7074,780,801,0.44806134961334887,0.6680841398208596,0.09041531882856979,0.431340907620596,0.32729495404496967,0.0019674611572255696,0.4882202310071824,0.3698362312433621,2018
20,2014-07,2019-06,2019-07,2019-12,2020-01,2020-06,7264,801,721,0.37688758472928285,0.7431135777276248,0.01825831946390022,0.48421923393517835,0.36897293119334246,0.19341299994476713,0.5384598830150287,0.3933146741615782,2019
21,2015-01,2019-12,2020-01,2020-06,2020-07,2020-12,7455,721,827,0.35605755178788634,0.780539599536895,0.20949182590954896,0.5330659296926307,0.3936402275035349,0.0500731445132635,0.4370538940153659,0.3500266994402343,2019
22,2015-07,2020-06,2020-07,2020-12,2021-01,2021-06,7504,827,795,0.14118262016559613,0.9846716355798367,0.047942481275413895,0.43754377019440677,0.3515662871889045,-0.07108147034986323,0.3486153953226873,0.2672803799564432,2020
23,2016-01,2020-12,2021-01,2021-06,2021-07,2021-12,7670,795,839,0.07489685298166271,1.0341896655187932,-0.06491461484866945,0.3476103530935498,0.2653800134779016,-0.045175701781233535,0.421279655170628,0.3228875697477498,2020
24,2016-07,2021-06,2021-07,2021-12,2022-01,2022-06,7775,839,837,0.11688744592241807,0.998495876586455,-0.042952352241644176,0.4208313331423873,0.32283535871179675,-0.07040775462423299,0.3691141172832098,0.27513189234821067,2021
25,2017-01,2021-12,2022-01,2022-06,2022-07,2022-12,7928,837,880,0.11604535271860916,0.9880284888426558,-0.08443985120814279,0.37152561925341815,0.2760210610239247,-0.014162100484714779,0.32084401176913596,0.2512204173074389,2021
26,2017-07,2022-06,2022-07,2022-12,2023-01,2023-06,8069,880,863,0.162265507695877,0.955578876052632,-0.03102976562229487,0.3235011667562839,0.2552864935039666,-0.008368018276780465,0.3915830075473091,0.2929722385252938,2022
