year,quarter,quarter_start_date,quarter_end_date,permno,ticker,cusip,comnam,dollar_vol
2005,1,2005-01-01,2005-03-31,10107,MSFT,59491810,MICROSOFT CORP,401426159.04
2005,1,2005-01-01,2005-03-31,90319,GOOG,02079K30,GOOGLE INC,400850223.74
2005,1,2005-01-01,2005-03-31,86356,EBAY,27864210,EBAY INC,366027502.5
2005,1,2005-01-01,2005-03-31,59328,INTC,45814010,INTEL CORP,360969284.5
2005,1,2005-01-01,2005-03-31,14593,AAPL,03783310,APPLE COMPUTER INC,353543289.8
2005,1,2005-01-01,2005-03-31,76076,CSCO,17275R10,CISCO SYSTEMS INC,239716187.48
2005,1,2005-01-01,2005-03-31,83435,YHOO,98433210,YAHOO INC,176995106.82
2005,1,2005-01-01,2005-03-31,21936,PFE,71708110,PFIZER INC,152253106.72
2005,1,2005-01-01,2005-03-31,70519,C,17296742,CITIGROUP INC,151641508.5
2005,1,2005-01-01,2005-03-31,10104,ORCL,68389X10,ORACLE CORP,146022767.01
2005,1,2005-01-01,2005-03-31,12060,GE,36960430,GENERAL ELECTRIC CO,138455687.89
2005,1,2005-01-01,2005-03-31,14702,AMAT,03822210,APPLIED MATERIALS INC,133174218.3
2005,1,2005-01-01,2005-03-31,77178,QCOM,74752510,QUALCOMM INC,131521513.48
2005,1,2005-01-01,2005-03-31,11850,XOM,30231G10,EXXON MOBIL CORP,126604986.0
2005,1,2005-01-01,2005-03-31,80924,SIRI,82993310,SIRIUS SATELLITE RADIO INC,124014995.46
2005,1,2005-01-01,2005-03-31,75607,SYMC,66877110,SYMANTEC CORP,121715704.4
2005,1,2005-01-01,2005-03-31,11081,DELL,24702R10,DELL INC,111777780.96
2005,1,2005-01-01,2005-03-31,12490,IBM,45920010,INTERNATIONAL BUSINESS MACHS COR,107252325.72
2005,1,2005-01-01,2005-03-31,14008,AMGN,03116210,AMGEN INC,100999648.8
2005,1,2005-01-01,2005-03-31,55976,WMT,93114210,WAL MART STORES INC,96278135.6
2005,1,2005-01-01,2005-03-31,18163,PG,74271810,PROCTER & GAMBLE CO,95638234.54
