,test_r2,test_r2,test_r2,test_rmse,test_rmse
,mean,std,count,mean,std
year,,,,,
2010,-0.0127,,1,0.3246,
2011,-0.1465,0.1942,2,0.5602,0.296
2012,-0.0694,0.0945,2,0.3709,0.0056
2013,-0.0154,0.0473,2,0.388,0.0261
2014,-0.0743,0.0411,2,0.3818,0.0211
2015,-0.017,0.0337,2,0.3909,0.0762
2016,0.0156,0.0849,2,0.4309,0.1377
2017,-0.0478,0.0697,2,0.4593,0.0454
2018,0.0249,0.0043,2,0.4316,0.085
2019,0.0457,0.0619,2,0.4599,0.0401
2020,0.1217,0.1014,2,0.4878,0.0717
2021,-0.0581,0.0183,2,0.3849,0.0514
2022,-0.0423,0.0398,2,0.345,0.0341
2023,-0.0084,,1,0.3916,
