window_id,train_start,train_end,val_start,val_end,test_start,test_end,test_year,LinearRegression_r2,LinearRegression_rmse,LinearRegression_mae,LinearRegression_train_size,LinearRegression_test_size,RandomForest_r2,RandomForest_rmse,RandomForest_mae,RandomForest_train_size,RandomForest_test_size,XGBoost_r2,XGBoost_rmse,XGBoost_mae,XGBoost_train_size,XGBoost_test_size,Baseline_r2,Baseline_rmse,Baseline_mae,Baseline_train_size,Baseline_test_size
1,2005-01,2009-12,2010-01,2010-06,2010-07,2010-12,2010,-0.12275306623346371,0.2224853899111055,0.1728242067616831,4738,368,-0.10376967779112478,0.22059649199548875,0.18475895926552138,4738,368,-0.1612989085192127,0.22627229469924423,0.19239286868108785,4738,368,-0.20749560558250124,0.22770173356164097,0.17988921260740176,0,324
2,2005-07,2010-06,2010-07,2010-12,2011-01,2011-06,2011,-0.020654992212407297,0.23647281076787804,0.1843432722984177,4861,397,0.15543155672452325,0.21510928493594292,0.17373094399387984,4861,397,0.13712013738295525,0.21742871458249063,0.17657709522970944,4861,397,-0.0780902346421466,0.24414249248809747,0.1924220402523014,0,348
3,2006-01,2010-12,2011-01,2011-06,2011-07,2011-12,2011,-0.02951163426039005,0.23055674779599533,0.18427392753679306,4982,396,0.12647080124855992,0.21237379180266366,0.17426731240385035,4982,396,0.058373802200694436,0.2204963853836702,0.18123285423603605,4982,396,-0.24833478246642704,0.2497554679475459,0.1961252326845319,0,346
4,2006-07,2011-06,2011-07,2011-12,2012-01,2012-06,2012,-0.031607884460303604,0.238725876519931,0.18556345946827896,5087,428,0.12024968725977192,0.22045598068718564,0.18062901026837444,5087,428,0.09561970018961474,0.22352068359499805,0.1824374853930574,5087,428,-0.12478543466322334,0.2509859168675222,0.20271418232419047,0,378
5,2007-01,2011-12,2012-01,2012-06,2012-07,2012-12,2012,-0.062431630730161114,0.253573575241738,0.2026185454643863,5182,406,0.15586268654196556,0.22602685745026882,0.1824874690798493,5182,406,0.12991116864417196,0.22947495584596564,0.1874041497957504,5182,406,-0.08177920228891367,0.2591022700062456,0.20338289547004654,0,346
6,2007-07,2012-06,2012-07,2012-12,2013-01,2013-06,2013,0.06788724070503405,0.22167827016730637,0.18296280556295955,3698,477,0.09044796212438821,0.21897910328813158,0.18179108808218616,3698,477,0.04572502731371908,0.22429813595492243,0.1846557733832227,3698,477,-0.242846716699062,0.24944862233689408,0.2019128301651499,0,416
7,2008-01,2012-12,2013-01,2013-06,2013-07,2013-12,2013,0.14910634466456307,0.23274885766411638,0.18536662094686354,3739,457,0.24981831325149195,0.21854110994496728,0.1774607427710544,3739,457,0.21789146449966035,0.2231430825523145,0.18052577912674037,3739,457,-0.19081143564873693,0.27835457391129265,0.2147706257261688,0,415
8,2008-07,2013-06,2013-07,2013-12,2014-01,2014-06,2014,0.15833363776388,0.2007888499817207,0.16263837565650852,3857,493,0.19843768163654318,0.19594683515440603,0.15899904226722533,3857,493,0.10933439366827191,0.20655083168118268,0.16807194310167775,3857,493,-0.21644555888568306,0.23674432369326892,0.18904381096642103,0,450
9,2009-01,2013-12,2014-01,2014-06,2014-07,2014-12,2014,0.2088167625044116,0.21355093245850623,0.1718571783998213,4011,520,0.2877902127603754,0.2026128111031168,0.1643761049332685,4011,520,0.2751742121515588,0.20439946347903845,0.166235277124328,4011,520,-0.12674905473685594,0.25361990543021096,0.19997441427788398,0,468
10,2009-07,2014-06,2014-07,2014-12,2015-01,2015-06,2015,0.18733206379077794,0.2156325435879676,0.17550992621269174,4147,570,0.2273624640809092,0.21025466713260907,0.1715424760739871,4147,570,0.19844319950570777,0.21415336105176355,0.17441483466288477,4147,570,-0.08291765352339864,0.24777790058731747,0.1956209100487724,0,533
