feature,baseline_correlation,crisis_correlation,correlation_change,abs_change,impact_level
ievr,0.26394417711493773,0.19944218883075468,-0.06450198828418305,0.06450198828418305,Minor
normative_iv_rv_ratio,0.2714424840323601,0.2718391489651816,0.00039666493282147774,0.00039666493282147774,Stable
SKEW,0.0066420664320856705,-0.01655374959136864,-0.023195816023454312,0.023195816023454312,Stable
KURT,-0.0702012319792403,-0.06642411464627103,0.0037771173329692737,0.0037771173329692737,Stable
IV_RATIO,0.01768929462437161,0.12201276108689366,0.10432346646252205,0.10432346646252205,Moderate
SMIRK,-0.06544524232375697,-0.08803093406966557,-0.022585691745908604,0.022585691745908604,Stable
vol_hl7,-0.2690586363747475,-0.16833460803057343,0.10072402834417404,0.10072402834417404,Moderate
vol_hl10,-0.278946301445744,-0.17642318194973755,0.10252311949600645,0.10252311949600645,Moderate
vol_hl21,-0.2818249853964084,-0.16379266665839695,0.11803231873801143,0.11803231873801143,Moderate
z_score_momentum,0.11766650823816802,0.12855683866117426,0.010890330423006245,0.010890330423006245,Stable
