feature,baseline_mean,crisis_mean,baseline_std,crisis_std,mean_change_pct,std_change_pct,ks_statistic,ks_pvalue,mw_pvalue,distribution_shift,severity
IV_RATIO,1.1848046470952591,1.263187413825585,0.36218099545417076,0.20151888768912116,6.615670095698385,-44.359618472963,0.2343563018200669,3.528135730981635e-36,1.6495539355912437e-43,Significant,Moderate
SMIRK,0.1108868656338397,0.08575519439507948,0.19061019716152128,0.18205730846750154,-22.664245305433823,-4.487109725180181,0.2206839696094145,4.286635806895696e-32,4.978418153804821e-30,Significant,Critical
revr,1.1276216243326445,1.2232847922934535,0.25022444086718476,0.22206728131508674,8.483623043095243,-11.252761502639705,0.20311266106173845,2.2260915544946446e-27,2.315633374156164e-27,Significant,Moderate
z_score_momentum,1.1706512662684616,1.7415170679562426,1.3929855461346712,1.188849550566303,48.764804526924436,-14.654566670473743,0.20109748328582577,6.835653016978265e-23,1.0422400991540314e-26,Significant,Critical
SKEW,-0.10534912742800007,-0.08195612612065,0.19017060125594357,0.15741240190281688,22.205216007448957,-17.225690583498043,0.1852832169672422,1.085520713261475e-22,9.362292754150147e-20,Significant,Critical
vol_hl10,0.020548347194350496,0.015177099604761924,0.016246551090451117,0.006986764285484257,-26.13956022246561,-56.99540015240087,0.178830668689462,2.7598436113020577e-21,3.0941310044231156e-24,Significant,Critical
vol_hl21,0.021125154797040798,0.01608192803693708,0.014568209240620411,0.006762159426154904,-23.873087835598582,-53.58276837965757,0.17241404492008933,8.282854212306725e-20,1.1402676956926022e-23,Significant,Critical
vol_hl7,0.020217713492845017,0.014873281245314287,0.01687603496412706,0.007089888948150752,-26.434404906480186,-57.98841989115607,0.16613674487935182,2.0419192980421104e-18,1.1571477432571296e-21,Significant,Critical
KURT,0.14853429633409268,0.12168607313240386,0.3733884414596854,0.36658692623713796,-18.07543702990999,-1.82156555140227,0.14096903616847944,2.758059194699008e-13,1.0907605170235875e-10,Significant,Critical
ievr,1.1393208641444,1.1707032539789177,0.15485576821128608,0.14396553080758975,2.7544821500381413,-7.032503554428546,0.12013113326894563,8.120880600259106e-10,8.583376660536879e-11,Significant,Moderate
normative_iv_rv_ratio,1.2254233296817807,1.1726852961889196,0.36317303777416243,0.27829423001566644,-4.303658353440698,-23.37145077693722,0.08619130210423714,2.926617449328788e-05,0.0014605741719111347,Significant,Moderate
