year,quarter,year_quarter,quarter_date,total_observations,ievr_count,ievr_coverage,normative_iv_rv_ratio_count,normative_iv_rv_ratio_coverage,IV_RATIO_count,IV_RATIO_coverage,SMIRK_count,SMIRK_coverage,vol_hl21_count,vol_hl21_coverage,z_score_momentum_count,z_score_momentum_coverage,dispersion_pct_ibes_count,dispersion_pct_ibes_coverage,revr_count,revr_coverage,complete_cases_count,complete_cases_coverage
2005,1,2005Q1,2005-03-01,93,93,100.0,93,100.0,93,100.0,93,100.0,93,100.0,0,0.0,93,100.0,93,100.0,0,0.0
2005,2,2005Q2,2005-06-01,143,143,100.0,143,100.0,143,100.0,143,100.0,143,100.0,0,0.0,143,100.0,143,100.0,0,0.0
2005,3,2005Q3,2005-09-01,136,136,100.0,136,100.0,136,100.0,136,100.0,136,100.0,0,0.0,135,99.26470588235294,136,100.0,0,0.0
2005,4,2005Q4,2005-12-01,125,125,100.0,125,100.0,125,100.0,125,100.0,125,100.0,0,0.0,124,99.2,125,100.0,0,0.0
2006,1,2006Q1,2006-03-01,164,164,100.0,164,100.0,164,100.0,164,100.0,164,100.0,0,0.0,163,99.39024390243902,164,100.0,0,0.0
2006,2,2006Q2,2006-06-01,134,134,100.0,134,100.0,134,100.0,134,100.0,134,100.0,0,0.0,132,98.50746268656717,134,100.0,0,0.0
2006,3,2006Q3,2006-09-01,133,133,100.0,133,100.0,133,100.0,133,100.0,133,100.0,9,6.7669172932330826,132,99.24812030075188,133,100.0,9,6.7669172932330826
2006,4,2006Q4,2006-12-01,156,156,100.0,156,100.0,156,100.0,156,100.0,156,100.0,104,66.66666666666666,153,98.07692307692307,156,100.0,102,65.38461538461539
2007,1,2007Q1,2007-03-01,481,481,100.0,481,100.0,481,100.0,481,100.0,481,100.0,464,96.46569646569647,480,99.7920997920998,481,100.0,464,96.46569646569647
2007,2,2007Q2,2007-06-01,402,402,100.0,402,100.0,402,100.0,402,100.0,402,100.0,384,95.52238805970148,399,99.25373134328358,402,100.0,382,95.02487562189054
2007,3,2007Q3,2007-09-01,189,189,100.0,189,100.0,189,100.0,189,100.0,189,100.0,172,91.005291005291,189,100.0,189,100.0,172,91.005291005291
2007,4,2007Q4,2007-12-01,153,153,100.0,153,100.0,153,100.0,153,100.0,153,100.0,138,90.19607843137256,153,100.0,153,100.0,138,90.19607843137256
2008,1,2008Q1,2008-03-01,187,187,100.0,187,100.0,187,100.0,187,100.0,187,100.0,173,92.51336898395722,186,99.46524064171123,187,100.0,172,91.97860962566845
2008,2,2008Q2,2008-06-01,179,179,100.0,179,100.0,179,100.0,179,100.0,179,100.0,165,92.17877094972067,178,99.4413407821229,179,100.0,164,91.62011173184358
2008,3,2008Q3,2008-09-01,180,180,100.0,180,100.0,180,100.0,180,100.0,180,100.0,166,92.22222222222223,180,100.0,180,100.0,166,92.22222222222223
2008,4,2008Q4,2008-12-01,131,131,100.0,131,100.0,131,100.0,131,100.0,131,100.0,123,93.89312977099237,129,98.47328244274809,131,100.0,121,92.36641221374046
2009,1,2009Q1,2009-03-01,167,167,100.0,167,100.0,167,100.0,167,100.0,167,100.0,159,95.20958083832335,166,99.40119760479041,167,100.0,158,94.61077844311377
2009,2,2009Q2,2009-06-01,199,199,100.0,199,100.0,199,100.0,199,100.0,199,100.0,190,95.47738693467338,197,98.99497487437185,199,100.0,188,94.47236180904522
2009,3,2009Q3,2009-09-01,147,147,100.0,147,100.0,147,100.0,147,100.0,147,100.0,143,97.27891156462584,145,98.63945578231292,147,100.0,141,95.91836734693877
2009,4,2009Q4,2009-12-01,167,167,100.0,167,100.0,167,100.0,167,100.0,167,100.0,161,96.40718562874252,166,99.40119760479041,167,100.0,160,95.80838323353294
2010,1,2010Q1,2010-03-01,189,189,100.0,189,100.0,189,100.0,189,100.0,189,100.0,185,97.88359788359789,187,98.94179894179894,189,100.0,183,96.82539682539682
2010,2,2010Q2,2010-06-01,181,181,100.0,181,100.0,181,100.0,181,100.0,181,100.0,175,96.68508287292818,179,98.89502762430939,181,100.0,173,95.58011049723757
2010,3,2010Q3,2010-09-01,189,189,100.0,189,100.0,189,100.0,189,100.0,189,100.0,178,94.17989417989418,187,98.94179894179894,189,100.0,176,93.12169312169311
2010,4,2010Q4,2010-12-01,184,184,100.0,184,100.0,184,100.0,184,100.0,184,100.0,173,94.02173913043478,184,100.0,184,100.0,173,94.02173913043478
2011,1,2011Q1,2011-03-01,215,215,100.0,215,100.0,215,100.0,215,100.0,215,100.0,203,94.41860465116278,214,99.53488372093024,215,100.0,202,93.95348837209302
2011,2,2011Q2,2011-06-01,200,200,100.0,200,100.0,200,100.0,200,100.0,200,100.0,192,96.0,199,99.5,200,100.0,191,95.5
2011,3,2011Q3,2011-09-01,210,210,100.0,210,100.0,210,100.0,210,100.0,210,100.0,196,93.33333333333333,209,99.52380952380952,210,100.0,195,92.85714285714286
2011,4,2011Q4,2011-12-01,191,191,100.0,191,100.0,191,100.0,191,100.0,191,100.0,179,93.717277486911,190,99.47643979057592,191,100.0,178,93.19371727748691
2012,1,2012Q1,2012-03-01,222,222,100.0,222,100.0,222,100.0,222,100.0,222,100.0,204,91.8918918918919,222,100.0,222,100.0,204,91.8918918918919
2012,2,2012Q2,2012-06-01,218,218,100.0,218,100.0,218,100.0,218,100.0,218,100.0,200,91.74311926605505,215,98.62385321100918,218,100.0,197,90.36697247706422
2012,3,2012Q3,2012-09-01,214,214,100.0,214,100.0,214,100.0,214,100.0,214,100.0,195,91.1214953271028,211,98.5981308411215,214,100.0,192,89.7196261682243
2012,4,2012Q4,2012-12-01,201,201,100.0,201,100.0,201,100.0,201,100.0,201,100.0,186,92.53731343283582,200,99.50248756218906,201,100.0,185,92.03980099502488
2013,1,2013Q1,2013-03-01,248,248,100.0,248,100.0,248,100.0,248,100.0,248,100.0,233,93.95161290322581,247,99.59677419354838,248,100.0,232,93.54838709677419
2013,2,2013Q2,2013-06-01,238,238,100.0,238,100.0,238,100.0,238,100.0,238,100.0,220,92.43697478991596,236,99.15966386554622,238,100.0,218,91.59663865546219
2013,3,2013Q3,2013-09-01,230,230,100.0,230,100.0,230,100.0,230,100.0,230,100.0,212,92.17391304347827,227,98.69565217391305,230,100.0,209,90.8695652173913
2013,4,2013Q4,2013-12-01,238,238,100.0,238,100.0,238,100.0,238,100.0,238,100.0,224,94.11764705882352,236,99.15966386554622,238,100.0,222,93.27731092436974
2014,1,2014Q1,2014-03-01,227,227,100.0,227,100.0,227,100.0,227,100.0,227,100.0,214,94.27312775330397,226,99.55947136563876,227,100.0,213,93.83259911894272
2014,2,2014Q2,2014-06-01,278,278,100.0,278,100.0,278,100.0,278,100.0,278,100.0,266,95.68345323741008,276,99.28057553956835,278,100.0,264,94.96402877697841
2014,3,2014Q3,2014-09-01,272,272,100.0,272,100.0,272,100.0,272,100.0,272,100.0,260,95.58823529411765,272,100.0,272,100.0,260,95.58823529411765
2014,4,2014Q4,2014-12-01,257,257,100.0,257,100.0,257,100.0,257,100.0,257,100.0,246,95.71984435797665,257,100.0,257,100.0,246,95.71984435797665
2015,1,2015Q1,2015-03-01,280,280,100.0,280,100.0,280,100.0,280,100.0,280,100.0,272,97.14285714285714,280,100.0,280,100.0,272,97.14285714285714
2015,2,2015Q2,2015-06-01,298,298,100.0,298,100.0,298,100.0,298,100.0,298,100.0,289,96.97986577181209,298,100.0,298,100.0,289,96.97986577181209
2015,3,2015Q3,2015-09-01,288,288,100.0,288,100.0,288,100.0,288,100.0,288,100.0,275,95.48611111111111,287,99.65277777777779,288,100.0,274,95.13888888888889
2015,4,2015Q4,2015-12-01,294,294,100.0,294,100.0,294,100.0,294,100.0,294,100.0,280,95.23809523809523,292,99.31972789115646,294,100.0,278,94.5578231292517
2016,1,2016Q1,2016-03-01,292,292,100.0,292,100.0,292,100.0,292,100.0,292,100.0,280,95.8904109589041,291,99.65753424657534,292,100.0,279,95.54794520547945
2016,2,2016Q2,2016-06-01,314,314,100.0,314,100.0,314,100.0,314,100.0,314,100.0,296,94.26751592356688,313,99.68152866242038,314,100.0,295,93.94904458598727
2016,3,2016Q3,2016-09-01,320,320,100.0,320,100.0,320,100.0,320,100.0,320,100.0,299,93.4375,320,100.0,320,100.0,299,93.4375
2016,4,2016Q4,2016-12-01,299,299,100.0,299,100.0,299,100.0,299,100.0,299,100.0,280,93.64548494983278,297,99.33110367892976,299,100.0,279,93.31103678929766
2017,1,2017Q1,2017-03-01,324,324,100.0,324,100.0,324,100.0,324,100.0,324,100.0,306,94.44444444444444,324,100.0,324,100.0,306,94.44444444444444
2017,2,2017Q2,2017-06-01,323,323,100.0,323,100.0,323,100.0,323,100.0,323,100.0,302,93.49845201238391,323,100.0,323,100.0,302,93.49845201238391
2017,3,2017Q3,2017-09-01,327,327,100.0,327,100.0,327,100.0,327,100.0,327,100.0,302,92.35474006116208,326,99.69418960244649,327,100.0,301,92.04892966360856
2017,4,2017Q4,2017-12-01,331,331,100.0,331,100.0,331,100.0,331,100.0,331,100.0,311,93.95770392749245,330,99.69788519637463,331,100.0,310,93.65558912386706
2018,1,2018Q1,2018-03-01,333,333,100.0,333,100.0,333,100.0,333,100.0,333,100.0,316,94.8948948948949,332,99.69969969969969,333,100.0,315,94.5945945945946
2018,2,2018Q2,2018-06-01,355,355,100.0,355,100.0,355,100.0,355,100.0,355,100.0,338,95.2112676056338,355,100.0,355,100.0,338,95.2112676056338
2018,3,2018Q3,2018-09-01,342,342,100.0,342,100.0,342,100.0,342,100.0,342,100.0,323,94.44444444444444,342,100.0,342,100.0,323,94.44444444444444
2018,4,2018Q4,2018-12-01,352,352,100.0,352,100.0,352,100.0,352,100.0,352,100.0,334,94.88636363636364,352,100.0,352,100.0,334,94.88636363636364
2019,1,2019Q1,2019-03-01,344,344,100.0,344,100.0,344,100.0,344,100.0,344,100.0,328,95.34883720930233,344,100.0,344,100.0,328,95.34883720930233
2019,2,2019Q2,2019-06-01,347,347,100.0,347,100.0,347,100.0,347,100.0,347,100.0,332,95.67723342939482,346,99.71181556195965,347,100.0,331,95.38904899135446
2019,3,2019Q3,2019-09-01,346,346,100.0,346,100.0,346,100.0,346,100.0,346,100.0,331,95.66473988439307,345,99.71098265895954,346,100.0,330,95.37572254335261
2019,4,2019Q4,2019-12-01,352,352,100.0,352,100.0,352,100.0,352,100.0,352,100.0,337,95.73863636363636,352,100.0,352,100.0,337,95.73863636363636
2020,1,2020Q1,2020-03-01,347,347,100.0,347,100.0,347,100.0,347,100.0,347,100.0,329,94.81268011527378,347,100.0,347,100.0,329,94.81268011527378
2020,2,2020Q2,2020-06-01,361,361,100.0,361,100.0,361,100.0,361,100.0,361,100.0,340,94.18282548476455,361,100.0,361,100.0,340,94.18282548476455
2020,3,2020Q3,2020-09-01,351,351,100.0,351,100.0,351,100.0,351,100.0,351,100.0,330,94.01709401709401,350,99.71509971509973,351,100.0,329,93.73219373219374
2020,4,2020Q4,2020-12-01,353,353,100.0,353,100.0,353,100.0,353,100.0,353,100.0,330,93.48441926345609,353,100.0,353,100.0,330,93.48441926345609
2021,1,2021Q1,2021-03-01,297,297,100.0,297,100.0,297,100.0,297,100.0,297,100.0,280,94.27609427609428,295,99.32659932659934,297,100.0,278,93.60269360269359
2021,2,2021Q2,2021-06-01,342,342,100.0,342,100.0,342,100.0,342,100.0,342,100.0,324,94.73684210526315,341,99.70760233918129,342,100.0,323,94.44444444444444
2021,3,2021Q3,2021-09-01,346,346,100.0,346,100.0,346,100.0,346,100.0,346,100.0,325,93.9306358381503,346,100.0,346,100.0,325,93.9306358381503
2021,4,2021Q4,2021-12-01,349,349,100.0,349,100.0,349,100.0,349,100.0,349,100.0,331,94.84240687679083,348,99.7134670487106,349,100.0,331,94.84240687679083
2022,1,2022Q1,2022-03-01,344,344,100.0,344,100.0,344,100.0,344,100.0,344,100.0,327,95.05813953488372,342,99.4186046511628,344,100.0,326,94.76744186046511
2022,2,2022Q2,2022-06-01,368,368,100.0,368,100.0,368,100.0,368,100.0,368,100.0,351,95.38043478260869,367,99.72826086956522,368,100.0,351,95.38043478260869
2022,3,2022Q3,2022-09-01,384,384,100.0,384,100.0,384,100.0,384,100.0,384,100.0,364,94.79166666666666,380,98.95833333333334,384,100.0,363,94.53125
2022,4,2022Q4,2022-12-01,370,370,100.0,370,100.0,370,100.0,370,100.0,370,100.0,351,94.86486486486486,368,99.45945945945947,370,100.0,349,94.32432432432432
2023,1,2023Q1,2023-03-01,174,174,100.0,174,100.0,174,100.0,174,100.0,174,100.0,167,95.97701149425288,174,100.0,174,100.0,167,95.97701149425288
