window_id,algorithm,train_start,train_end,test_start,test_end,test_year,train_r2,test_r2,test_rmse,train_size,test_size,importance_ievr,importance_raw_ievr,importance_normative_iv_rv_ratio,importance_raw_normative_iv_rv_ratio,importance_SKEW,importance_raw_SKEW,importance_KURT,importance_raw_KURT,importance_IV_RATIO,importance_raw_IV_RATIO,importance_SMIRK,importance_raw_SMIRK,importance_vol_hl7,importance_raw_vol_hl7,importance_vol_hl10,importance_raw_vol_hl10,importance_vol_hl21,importance_raw_vol_hl21,importance_z_score_momentum,importance_raw_z_score_momentum
1,RandomForest,2005-01,2009-12,2010-01,2010-06,2010,0.4351065112687551,0.10377277610204616,0.19608085386674337,2887,333,0.12443266223107692,0.12443266223107692,0.4313261476489844,0.4313261476489844,0.05568701126628808,0.05568701126628808,0.0636909490130254,0.0636909490130254,0.06195895258078213,0.06195895258078213,0.046769834134077364,0.046769834134077364,0.048316908671079795,0.048316908671079795,0.038062518569000045,0.038062518569000045,0.06439468988976593,0.06439468988976593,0.06536032599592011,0.06536032599592011
1,XGBoost,2005-01,2009-12,2010-01,2010-06,2010,0.7161764384482507,-0.001901563014321539,0.207318782883654,2887,333,0.07120229303836823,0.07120229303836823,0.19819101691246033,0.19819101691246033,0.07487115263938904,0.07487115263938904,0.08513511717319489,0.08513511717319489,0.09168805181980133,0.09168805181980133,0.09239055216312408,0.09239055216312408,0.08858634531497955,0.08858634531497955,0.10141244530677795,0.10141244530677795,0.10832780599594116,0.10832780599594116,0.08819526433944702,0.08819526433944702
2,RandomForest,2005-07,2010-06,2010-07,2010-12,2010,0.4273255200568431,-0.11822562714668639,0.22153471662950194,2996,370,0.14202476763457775,0.14202476763457775,0.40461797988025544,0.40461797988025544,0.062354621708885276,0.062354621708885276,0.06785343996041854,0.06785343996041854,0.0656929134725472,0.0656929134725472,0.05194096728707431,0.05194096728707431,0.04157539977068494,0.04157539977068494,0.035943776749181075,0.035943776749181075,0.061303408956919714,0.061303408956919714,0.06669272457945578,0.06669272457945578
2,XGBoost,2005-07,2010-06,2010-07,2010-12,2010,0.7114559051297196,-0.19864774347533265,0.2293627354878727,2996,370,0.07883768528699875,0.07883768528699875,0.2020152360200882,0.2020152360200882,0.08266767114400864,0.08266767114400864,0.08734848350286484,0.08734848350286484,0.08539590239524841,0.08539590239524841,0.09388384222984314,0.09388384222984314,0.08620565384626389,0.08620565384626389,0.09274616837501526,0.09274616837501526,0.10261494666337967,0.10261494666337967,0.0882844552397728,0.0882844552397728
3,RandomForest,2006-01,2010-12,2011-01,2011-06,2011,0.4080444619368697,0.19401272793887958,0.21012850621310727,3118,398,0.15013481311475743,0.15013481311475743,0.36522875848112163,0.36522875848112163,0.06532481766073397,0.06532481766073397,0.068192863616093,0.068192863616093,0.08045887849897533,0.08045887849897533,0.04692028306115194,0.04692028306115194,0.03803034948695756,0.03803034948695756,0.039203297167144865,0.039203297167144865,0.06911184467481261,0.06911184467481261,0.0773940942382517,0.0773940942382517
3,XGBoost,2006-01,2010-12,2011-01,2011-06,2011,0.6787202697337966,0.1598743606147559,0.21453245411049415,3118,398,0.08060253411531448,0.08060252666473389,0.1743714064359665,0.1743713915348053,0.07561509311199188,0.07561508566141129,0.08860008418560028,0.08860007673501968,0.08749347180128098,0.08749346435070038,0.09029728174209595,0.09029727429151535,0.08548635989427567,0.08548635244369507,0.10547773540019989,0.1054777279496193,0.11627690494060516,0.11627689749002457,0.09577913582324982,0.09577912837266922
4,RandomForest,2006-07,2011-06,2011-07,2011-12,2011,0.41222070770607466,0.14196538191380847,0.21047437026516308,3266,398,0.15817437500800333,0.15817437500800333,0.3699082293960522,0.3699082293960522,0.06545035755102836,0.06545035755102836,0.06751632086446198,0.06751632086446198,0.07725257754058518,0.07725257754058518,0.05890816255796513,0.05890816255796513,0.03602994450769165,0.03602994450769165,0.03395605401659738,0.03395605401659738,0.058220671690268136,0.058220671690268136,0.0745833068673466,0.0745833068673466
4,XGBoost,2006-07,2011-06,2011-07,2011-12,2011,0.6852178166577936,0.09180873971600578,0.21653867392814108,3266,398,0.08730535209178925,0.08730535209178925,0.17990367114543915,0.17990367114543915,0.07770030945539474,0.07770030945539474,0.08645173162221909,0.08645173162221909,0.09453382343053818,0.09453382343053818,0.08916472643613815,0.08916472643613815,0.083299420773983,0.083299420773983,0.10237225890159607,0.10237225890159607,0.1060202568769455,0.1060202568769455,0.09324845671653748,0.09324845671653748
5,RandomForest,2007-01,2011-12,2012-01,2012-06,2012,0.4051955964861257,0.12164421807951875,0.22233371701173188,3420,369,0.1623736605726197,0.16237366057261968,0.34662003025844856,0.3466200302584485,0.06633527373700522,0.06633527373700521,0.06206573333780468,0.062065733337804664,0.08109771250845789,0.08109771250845788,0.06648256486289819,0.06648256486289818,0.03953165587351038,0.039531655873510374,0.03488395281492109,0.034883952814921085,0.060113167371333424,0.06011316737133341,0.08049624866300092,0.08049624866300091
5,XGBoost,2007-01,2011-12,2012-01,2012-06,2012,0.6832439163893455,0.04847251065751701,0.23140927736607528,3420,369,0.08700485527515411,0.08700485527515411,0.1702476441860199,0.1702476441860199,0.08067196607589722,0.08067196607589722,0.09351568669080734,0.09351568669080734,0.09008906036615372,0.09008906036615372,0.09431127458810806,0.09431127458810806,0.08463381230831146,0.08463381230831146,0.09333901852369308,0.09333901852369308,0.1153654009103775,0.1153654009103775,0.0908212885260582,0.0908212885260582
