feature,random_forest_mean,random_forest_std,xgboost_mean,xgboost_std,average_importance,difference,agreement
normative_iv_rv_ratio,0.39347946634328546,0.05204734754545836,0.20600153505802155,0.029483039901165065,0.2997405007006535,0.1874779312852639,0.5235382089247282
ievr,0.1812972991687048,0.02782976069837973,0.09926850652253186,0.014340887251196328,0.14028290284561834,0.08202879264617294,0.5475454238849875
vol_hl21,0.06662928160196739,0.033115864961645904,0.10824086047984936,0.018131772187097845,0.08743507104090838,-0.04161157887788197,0.6155649660081132
IV_RATIO,0.06599329399778624,0.007171026001263198,0.08839445064465205,0.0038592143637604464,0.07719387232121915,-0.022401156646865816,0.7465773418636987
vol_hl10,0.044962769688479884,0.02539753496200209,0.09804070464990756,0.014554284577610228,0.07150173716919372,-0.05307793496142768,0.4586132856657541
z_score_momentum,0.059493130159847425,0.015827457254552122,0.08306733849975798,0.00992368158798716,0.0712802343298027,-0.02357420833991055,0.7162036395330129
KURT,0.05134366370948823,0.010565573013525828,0.07865229331784779,0.007631059419935622,0.06499797851366801,-0.027308629608359558,0.6527929643704021
SMIRK,0.046697970801260036,0.007397729072542491,0.08317492460763012,0.008047397119256259,0.06493644770444508,-0.03647695380637009,0.5614428990654734
SKEW,0.053369524026788746,0.011140351896723641,0.07254405761206592,0.007716794411585667,0.06295679081942733,-0.019174533585277174,0.7356842970127995
vol_hl7,0.036733600502391765,0.004427229478218182,0.08261534599242387,0.005711205978486333,0.05967447324740782,-0.04588174549003211,0.44463410594153263
