window_id,train_start,train_end,val_start,val_end,test_start,test_end,test_year,LinearRegression_r2,LinearRegression_rmse,LinearRegression_mae,LinearRegression_train_size,LinearRegression_test_size,RandomForest_r2,RandomForest_rmse,RandomForest_mae,RandomForest_train_size,RandomForest_test_size,XGBoost_r2,XGBoost_rmse,XGBoost_mae,XGBoost_train_size,XGBoost_test_size
1,2005-01,2009-12,2010-01,2010-06,2010-07,2010-12,2010,-0.1827466362214203,0.22783630792028006,0.19004519891420196,2887,370,-0.10684581300178375,0.22040459110146618,0.18578435588667647,2887,370,-0.23105026564796427,0.23244219429291774,0.1933564920494668,2887,370
2,2005-07,2010-06,2010-07,2010-12,2011-01,2011-06,2011,0.11685736257384782,0.21995625042813594,0.17620181161688867,2996,398,0.17619144023005628,0.21243889386579015,0.17406391997488838,2996,398,0.12708985861587985,0.21867828080829213,0.17964907008754877,2996,398
3,2006-01,2010-12,2011-01,2011-06,2011-07,2011-12,2011,0.1070398325766806,0.21471523320139665,0.17527313898281394,3118,398,0.1345128989180081,0.21138643453881711,0.17356151846461254,3118,398,0.13575173640291271,0.21123509362596757,0.17078574325455462,3118,398
4,2006-07,2011-06,2011-07,2011-12,2012-01,2012-06,2012,0.08275246081920751,0.2272026403568065,0.18388431820946752,3266,369,0.12155609104555432,0.22234487030518812,0.18209804911552085,3266,369,0.1000930609122378,0.22504475563251575,0.1822019991262209,3266,369
5,2007-01,2011-12,2012-01,2012-06,2012-07,2012-12,2012,0.10662725357015812,0.23379287754505115,0.190441673186213,3420,406,0.19487291835736542,0.22194590885352078,0.18317884197613102,3420,406,0.14776332350970578,0.22834685617727235,0.18707288071904274,3420,406
6,2007-07,2012-06,2012-07,2012-12,2013-01,2013-06,2013,0.10435870710310124,0.21927296700247,0.1823193763917088,3541,455,0.1043380979550722,0.21927548977753386,0.1817230706046874,3541,455,0.01981107289709705,0.22938918325020757,0.1895909305696982,3541,455
7,2008-01,2012-12,2013-01,2013-06,2013-07,2013-12,2013,0.15235949752757627,0.2326850890078415,0.1852014495060584,3644,459,0.25618749976002986,0.21796885348032222,0.1772269049553886,3644,459,0.1886872608709581,0.22764433703151551,0.185313383438055,3644,459
8,2008-07,2013-06,2013-07,2013-12,2014-01,2014-06,2014,0.16604578384801993,0.20061263629700596,0.16248794335750807,3753,483,0.20602573257705692,0.19574487241001262,0.1595496842621693,3753,483,0.12946879624016305,0.20496483260484857,0.16692138284469926,3753,483
9,2009-01,2013-12,2014-01,2014-06,2014-07,2014-12,2014,0.2041589763173759,0.21454409704139155,0.17340383124657677,3912,514,0.2889731456372495,0.202789941805709,0.16487960165735657,3912,514,0.22193348966215776,0.21213472732936176,0.17166942033176785,3912,514
10,2009-07,2014-06,2014-07,2014-12,2015-01,2015-06,2015,0.17147650269028125,0.21574646024091923,0.17470824816756217,4036,536,0.22716683216496103,0.20836949556341472,0.17064179837918014,4036,536,0.1992179065283186,0.21210379579793134,0.1730306383704881,4036,536
11,2010-01,2014-12,2015-01,2015-06,2015-07,2015-12,2015,0.1371378614525176,0.2213969481981192,0.17794424304928733,4254,554,0.17276270128940696,0.2167783855212957,0.17463078462031034,4254,554,0.11859238036741226,0.2237635399200192,0.17954741515393216,4254,554
12,2010-07,2015-06,2015-07,2015-12,2016-01,2016-06,2016,0.2122595041060641,0.21710274296004514,0.17184347728253727,4453,551,0.17038261569741797,0.2227986969184017,0.17878672724292657,4453,551,0.12620057442813204,0.22865442052533644,0.18291453953355322,4453,551
13,2011-01,2015-12,2016-01,2016-06,2016-07,2016-12,2016,0.20890306244708057,0.23040974467698866,0.19303954571613968,4642,608,0.21107503703596897,0.23009322968735166,0.19407988828005585,4642,608,0.1650707605802596,0.23670685010008374,0.1986093605830101,4642,608
14,2011-07,2016-06,2016-07,2016-12,2017-01,2017-06,2017,0.19521620732752998,0.23913627312249025,0.1960918727264623,4793,555,0.21356419438952623,0.2363945636542807,0.19478015261052326,4793,555,0.21095739097993527,0.2367860287528906,0.19346984888776755,4793,555
15,2012-01,2016-12,2017-01,2017-06,2017-07,2017-12,2017,0.14552883935575978,0.2320261071452265,0.1918731500641067,5013,643,0.16912310787221485,0.22880024720454364,0.18904629143235968,5013,643,0.1273427881758754,0.2344822593159809,0.19303644726072103,5013,643
16,2012-07,2017-06,2017-07,2017-12,2018-01,2018-06,2018,0.13484573360497298,0.20982849426954941,0.17041581475741052,5198,597,0.14532093630213372,0.20855433429564538,0.16938251624640302,5198,597,0.10567291152902614,0.21333685081837162,0.173769790076009,5198,597
17,2013-01,2017-12,2018-01,2018-06,2018-07,2018-12,2018,-0.001340734215224515,0.21894458751923473,0.17950288618873098,5440,676,0.057406993182558486,0.212424878490791,0.17371129263619936,5440,676,0.031186257420895425,0.21535919398587025,0.17568045187923903,5440,676
18,2013-07,2018-06,2018-07,2018-12,2019-01,2019-06,2019,0.1635228624609335,0.2183904855365104,0.17673402630071314,5588,652,0.14621179665119177,0.22063873105804532,0.1770781738434965,5588,652,0.11593399344750999,0.22451689219844467,0.18135155974097197,5588,652
19,2014-01,2018-12,2019-01,2019-06,2019-07,2019-12,2019,0.16169499541734478,0.21539024375585628,0.17506777386459732,5814,679,0.18170220689414363,0.21280444163909076,0.17460519394165117,5814,679,0.1711583610525852,0.21417105634734618,0.17623937192992759,5814,679
20,2014-07,2019-06,2019-07,2019-12,2020-01,2020-06,2020,0.35376778258001873,0.2056553491455154,0.16381518464599612,5990,631,0.39457252106709373,0.1990566869994418,0.16051345618449914,5990,631,0.39923017242620285,0.19828952104955108,0.15753744627258526,5990,631
21,2015-01,2019-12,2020-01,2020-06,2020-07,2020-12,2020,0.13228412559771752,0.2116127727213348,0.17304584852690402,6165,668,0.18305439717979322,0.2053287088002382,0.1676270387525949,6165,668,0.17026042155989718,0.20693026290850697,0.16878413511902784,6165,668
22,2015-07,2020-06,2020-07,2020-12,2021-01,2021-06,2021,0.06979848277366374,0.2061481463226616,0.1660771685187595,6268,571,0.13971160739419752,0.1982498848992046,0.1626032252080314,6268,571,0.1347402452954769,0.19882187461592699,0.16206460894381983,6268,571
23,2016-01,2020-12,2021-01,2021-06,2021-07,2021-12,2021,0.11711438122318307,0.2241903021613721,0.17722391801994708,6385,679,0.18492289119767336,0.2154090518362361,0.17314575801070323,6385,679,0.13236751289826176,0.2222452581138555,0.17659055391829376,6385,679
24,2016-07,2021-06,2021-07,2021-12,2022-01,2022-06,2022,0.128354357249169,0.2031844540675756,0.16393255907768034,6410,694,0.05756508710656527,0.21127405985188571,0.17022546924275547,6410,694,0.025256303928299584,0.21486501706360228,0.172977929776883,6410,694
25,2017-01,2021-12,2022-01,2022-06,2022-07,2022-12,2022,0.11249650741394623,0.21221734132502992,0.16511240307414,6489,727,0.1516743908247251,0.20748042206212086,0.16464245015314827,6489,727,0.13413221722872937,0.20961464615183245,0.166282206404264,6489,727
26,2017-07,2022-06,2022-07,2022-12,2023-01,2023-06,2023,0.10428188239446123,0.19911739656150804,0.16713944022317004,6634,98,0.1068267091064965,0.19883433893315258,0.16620669393942458,6634,98,0.13328316162691545,0.19586739301480657,0.1602626435447975,6634,98
