feature,mean_beta,std_beta,mean_se,mean_p_value,median_p_value,pct_sig_001,pct_sig_01,pct_sig_05,pct_sig_10,n_windows
ievr,0.060060343394884724,0.015568005777377738,0.003587120148102532,0.0,0.0,100.0,100.0,100.0,100.0,27
normative_iv_rv_ratio,0.0719857366173586,0.013487970322850741,0.0035895519499840552,0.0,0.0,100.0,100.0,100.0,100.0,27
SKEW,-0.0011998590773204454,0.0069578648797445535,0.005730451429004278,0.41203514857213136,0.41076349845070403,0.0,3.7037037037037033,7.4074074074074066,22.22222222222222,27
KURT,0.0058437952425708945,0.012070025585778549,0.007815134759982087,0.28586124120827894,0.19011101141129694,0.0,3.7037037037037033,29.629629629629626,37.03703703703704,27
IV_RATIO,0.002817830907207556,0.007645883733656645,0.003580745049539911,0.18935354721336412,0.03355569165303951,3.7037037037037033,29.629629629629626,55.55555555555556,62.96296296296296,27
SMIRK,-0.011963316239060313,0.011775712178633685,0.008189411283953573,0.3429682298127617,0.3030863556472112,0.0,22.22222222222222,44.44444444444444,48.148148148148145,27
vol_hl7,0.11146202481309875,0.06589620280314885,0.05216832320235581,0.12530510397555575,0.009623699783513961,18.51851851851852,51.85185185185185,59.25925925925925,66.66666666666666,27
vol_hl10,-0.16620202666633424,0.09633046980078967,0.07550322423099462,0.12492697666694415,0.011559150036516641,29.629629629629626,48.148148148148145,59.25925925925925,66.66666666666666,27
vol_hl21,0.028795534218149926,0.03562170311953766,0.027236321916831976,0.28038163376587694,0.2024613022098829,3.7037037037037033,7.4074074074074066,33.33333333333333,48.148148148148145,27
z_score_momentum,0.004692641533369995,0.004411415472970908,0.003332592227607456,0.3571060447568935,0.33094350701625475,7.4074074074074066,25.925925925925924,37.03703703703704,44.44444444444444,27
