train_end_year,mean_test_r2,std_test_r2,count_test_r2,mean_test_rmse,std_test_rmse,Model
2009,-0.1788,,1,0.2266,,Original (2 features)
2010,0.0945,0.0496,2,0.2129,0.005,Original (2 features)
2011,0.1086,0.0085,2,0.2226,0.0027,Original (2 features)
2012,0.1228,0.0224,2,0.2191,0.0036,Original (2 features)
2013,0.1234,0.0082,2,0.2064,0.0045,Original (2 features)
2014,0.142,0.0906,2,0.2145,0.0043,Original (2 features)
2015,0.1958,0.0351,2,0.2231,0.001,Original (2 features)
2016,0.1464,0.0181,2,0.2325,0.0057,Original (2 features)
2017,0.0574,0.12,2,0.2161,0.0059,Original (2 features)
2018,0.1506,0.0031,2,0.2184,0.0084,Original (2 features)
2019,0.1867,0.0513,2,0.2194,0.0141,Original (2 features)
2020,0.1057,0.0124,2,0.2103,0.0157,Original (2 features)
2021,0.1169,0.0863,2,0.2045,0.0048,Original (2 features)
2022,0.1582,,1,0.21,,Original (2 features)
2009,-0.1536,,1,0.2308,,REVR_lag1 (3 features)
2010,0.105,0.0246,2,0.2174,0.003,REVR_lag1 (3 features)
2011,0.1081,0.0084,2,0.225,0.0091,REVR_lag1 (3 features)
2012,0.1248,0.0657,2,0.2254,0.0069,REVR_lag1 (3 features)
2013,0.1488,0.0121,2,0.2085,0.0039,REVR_lag1 (3 features)
2014,0.1722,0.059,2,0.2181,0.0056,REVR_lag1 (3 features)
2015,0.1985,0.0231,2,0.2266,0.0063,REVR_lag1 (3 features)
2016,0.1638,0.0223,2,0.2363,0.0083,REVR_lag1 (3 features)
2017,0.0538,0.1123,2,0.2163,0.0073,REVR_lag1 (3 features)
2018,0.1416,0.0115,2,0.2218,0.0061,REVR_lag1 (3 features)
2019,0.1511,0.0054,2,0.2252,0.0201,REVR_lag1 (3 features)
2020,0.1291,0.0065,2,0.2126,0.0191,REVR_lag1 (3 features)
2021,0.0805,0.0752,2,0.2098,0.003,REVR_lag1 (3 features)
2022,0.1583,,1,0.2114,,REVR_lag1 (3 features)
2009,-0.1128,,1,0.2252,,Full Lags (4 features)
2010,0.1023,0.0559,2,0.2154,0.0014,Full Lags (4 features)
2011,0.1132,0.0115,2,0.2243,0.0084,Full Lags (4 features)
2012,0.1229,0.0575,2,0.2233,0.0075,Full Lags (4 features)
2013,0.1258,0.0238,2,0.2089,0.0047,Full Lags (4 features)
2014,0.1712,0.0543,2,0.2189,0.0049,Full Lags (4 features)
2015,0.1963,0.0119,2,0.2268,0.008,Full Lags (4 features)
2016,0.1773,0.0263,2,0.2342,0.0079,Full Lags (4 features)
2017,0.0622,0.0962,2,0.2157,0.0071,Full Lags (4 features)
2018,0.1382,0.0029,2,0.2201,0.0062,Full Lags (4 features)
2019,0.1506,0.0102,2,0.2251,0.0194,Full Lags (4 features)
2020,0.1281,0.0083,2,0.2108,0.0226,Full Lags (4 features)
2021,0.0833,0.0757,2,0.2097,0.0042,Full Lags (4 features)
2022,0.1586,,1,0.2108,,Full Lags (4 features)
