algorithm,window_id,train_start,train_end,val_start,val_end,test_start,test_end,train_obs,val_obs,test_obs,features_used,val_r2,val_rmse,val_mae,test_r2,test_rmse,test_mae
Linear_Regression,1,2005-01,2009-12,2010-01,2010-06,2010-07,2010-12,4120,453,482,"['ievr', 'normative_iv_rv_ratio', 'SKEW', 'KURT', 'IV_RATIO', 'SMIRK', 'vol_hl7', 'vol_hl10', 'vol_hl21']",0.08517117785954464,0.19909870683514308,0.16491422007320847,-0.14094395743030574,0.22295615049349005,0.1880605338144513
Linear_Regression,2,2005-07,2010-06,2010-07,2010-12,2011-01,2011-06,4197,482,520,"['ievr', 'normative_iv_rv_ratio', 'SKEW', 'KURT', 'IV_RATIO', 'SMIRK', 'vol_hl7', 'vol_hl10', 'vol_hl21']",-0.12392038513398873,0.22128657918613376,0.18653349310769798,0.11206737317171445,0.21166974793949517,0.17115792023696522
Linear_Regression,3,2006-01,2010-12,2011-01,2011-06,2011-07,2011-12,4335,520,512,"['ievr', 'normative_iv_rv_ratio', 'SKEW', 'KURT', 'IV_RATIO', 'SMIRK', 'vol_hl7', 'vol_hl10', 'vol_hl21']",0.11188884901610041,0.21169102560329828,0.1711922527557487,0.08079516812626597,0.2136735496597468,0.17514218979833143
Linear_Regression,4,2006-07,2011-06,2011-07,2011-12,2012-01,2012-06,4450,512,550,"['ievr', 'normative_iv_rv_ratio', 'SKEW', 'KURT', 'IV_RATIO', 'SMIRK', 'vol_hl7', 'vol_hl10', 'vol_hl21']",0.07838627020690381,0.21395334637697283,0.17484548959871715,0.11411722304326777,0.22202732231364303,0.18284690630702422
Linear_Regression,5,2007-01,2011-12,2012-01,2012-06,2012-07,2012-12,4613,550,515,"['ievr', 'normative_iv_rv_ratio', 'SKEW', 'KURT', 'IV_RATIO', 'SMIRK', 'vol_hl7', 'vol_hl10', 'vol_hl21']",0.11001147433814196,0.22254123602438586,0.18323744390458596,0.10294415926532996,0.2236847867080929,0.18353282272612328
Linear_Regression,6,2007-07,2012-06,2012-07,2012-12,2013-01,2013-06,4726,515,582,"['ievr', 'normative_iv_rv_ratio', 'SKEW', 'KURT', 'IV_RATIO', 'SMIRK', 'vol_hl7', 'vol_hl10', 'vol_hl21']",0.10471549786263112,0.22346383207642023,0.1830679684300928,0.11538586277396001,0.21718693103160605,0.1801176579602786
Linear_Regression,7,2008-01,2012-12,2013-01,2013-06,2013-07,2013-12,4828,582,573,"['ievr', 'normative_iv_rv_ratio', 'SKEW', 'KURT', 'IV_RATIO', 'SMIRK', 'vol_hl7', 'vol_hl10', 'vol_hl21']",0.11483809154260394,0.21725416392805572,0.1800851800563366,0.1347226904496085,0.2219738750162885,0.1806778251129615
Linear_Regression,8,2008-07,2013-06,2013-07,2013-12,2014-01,2014-06,4941,573,598,"['ievr', 'normative_iv_rv_ratio', 'SKEW', 'KURT', 'IV_RATIO', 'SMIRK', 'vol_hl7', 'vol_hl10', 'vol_hl21']",0.1333465632592491,0.22215031725413528,0.18082671334477396,0.15986077158160494,0.20087976802754848,0.16442530875483985
Linear_Regression,9,2009-01,2013-12,2014-01,2014-06,2014-07,2014-12,5123,598,626,"['ievr', 'normative_iv_rv_ratio', 'SKEW', 'KURT', 'IV_RATIO', 'SMIRK', 'vol_hl7', 'vol_hl10', 'vol_hl21']",0.15686053571400538,0.20123813099711169,0.1643562992036933,0.14660986324049596,0.2063666780897532,0.16777692240443368
Linear_Regression,10,2009-07,2014-06,2014-07,2014-12,2015-01,2015-06,5262,626,688,"['ievr', 'normative_iv_rv_ratio', 'SKEW', 'KURT', 'IV_RATIO', 'SMIRK', 'vol_hl7', 'vol_hl10', 'vol_hl21']",0.15362478831932447,0.20551675379828993,0.16690708278597244,0.215679806924443,0.20774137316804872,0.17004019013270627
