combination,name,n_features,n_windows,val_r2_mean,val_r2_std,test_r2_mean,test_r2_std,val_rmse_mean,test_rmse_mean,features
Model3_plus_momentum_6m,Model 3 + momentum_6m,10,25,0.12046957949129247,0.11301055230133425,0.12888933309923817,0.08857779992380331,0.213169019659649,0.21280199772444142,"['ievr', 'normative_iv_rv_ratio', 'SKEW', 'KURT', 'IV_RATIO', 'SMIRK', 'vol_hl7', 'vol_hl10', 'vol_hl21', 'momentum_6m']"
Model3_plus_momentum_3m_momentum_6m,Model 3 + momentum_3m + momentum_6m,11,25,0.1205173996250503,0.11227151400338585,0.12881052035164026,0.08833833426941944,0.2131395375362217,0.21278598765265486,"['ievr', 'normative_iv_rv_ratio', 'SKEW', 'KURT', 'IV_RATIO', 'SMIRK', 'vol_hl7', 'vol_hl10', 'vol_hl21', 'momentum_3m', 'momentum_6m']"
Model3_plus_momentum_3m_z_score_momentum,Model 3 + momentum_3m + z_score_momentum,11,26,0.12815720305813386,0.08304550780562199,0.12832017430832943,0.08691780553249488,0.21280599270583045,0.21292296144127473,"['ievr', 'normative_iv_rv_ratio', 'SKEW', 'KURT', 'IV_RATIO', 'SMIRK', 'vol_hl7', 'vol_hl10', 'vol_hl21', 'momentum_3m', 'z_score_momentum']"
Model3_plus_momentum_3m,Model 3 + momentum_3m,10,26,0.12792864182258737,0.08337651081461012,0.12809882826100738,0.08770574910811621,0.212830507063338,0.21294070676742,"['ievr', 'normative_iv_rv_ratio', 'SKEW', 'KURT', 'IV_RATIO', 'SMIRK', 'vol_hl7', 'vol_hl10', 'vol_hl21', 'momentum_3m']"
Model3_plus_z_score_momentum,Model 3 + z_score_momentum,10,26,0.1276808430531835,0.08392865228597894,0.12800642180195354,0.08695048163038412,0.2129668168560769,0.21308239145687108,"['ievr', 'normative_iv_rv_ratio', 'SKEW', 'KURT', 'IV_RATIO', 'SMIRK', 'vol_hl7', 'vol_hl10', 'vol_hl21', 'z_score_momentum']"
Model3_plus_momentum_3m_rolling_momentum_3m_z_score_momentum,Model 3 + momentum_3m + rolling_momentum_3m + z_score_momentum,12,26,0.12764933582204108,0.07604478703731259,0.1274335637261071,0.07822184042933557,0.21260303838991965,0.2126327824444811,"['ievr', 'normative_iv_rv_ratio', 'SKEW', 'KURT', 'IV_RATIO', 'SMIRK', 'vol_hl7', 'vol_hl10', 'vol_hl21', 'momentum_3m', 'rolling_momentum_3m', 'z_score_momentum']"
Model3_plus_momentum_3m_rolling_momentum_3m,Model 3 + momentum_3m + rolling_momentum_3m,11,26,0.12740864765027252,0.07657468635153816,0.1271113648499749,0.07910440913169403,0.21262783542665156,0.21266225155734217,"['ievr', 'normative_iv_rv_ratio', 'SKEW', 'KURT', 'IV_RATIO', 'SMIRK', 'vol_hl7', 'vol_hl10', 'vol_hl21', 'momentum_3m', 'rolling_momentum_3m']"
Model3_plus_momentum_1m,Model 3 + momentum_1m,10,26,0.12894342650282206,0.08139242005269548,0.12695832053561623,0.08709970472264372,0.2140181320009366,0.21436330845965862,"['ievr', 'normative_iv_rv_ratio', 'SKEW', 'KURT', 'IV_RATIO', 'SMIRK', 'vol_hl7', 'vol_hl10', 'vol_hl21', 'momentum_1m']"
Model3_plus_momentum_6m_z_score_momentum,Model 3 + momentum_6m + z_score_momentum,11,25,0.11923097498375643,0.1168095282599877,0.12676504038683692,0.09188519769169358,0.2132852219620144,0.2130417590326153,"['ievr', 'normative_iv_rv_ratio', 'SKEW', 'KURT', 'IV_RATIO', 'SMIRK', 'vol_hl7', 'vol_hl10', 'vol_hl21', 'momentum_6m', 'z_score_momentum']"
Model3_plus_momentum_1m_momentum_6m,Model 3 + momentum_1m + momentum_6m,11,25,0.11294705358790598,0.14261577142837617,0.1267396453466414,0.09383631405821971,0.21377124211089021,0.2129990573112181,"['ievr', 'normative_iv_rv_ratio', 'SKEW', 'KURT', 'IV_RATIO', 'SMIRK', 'vol_hl7', 'vol_hl10', 'vol_hl21', 'momentum_1m', 'momentum_6m']"
Model3_plus_rolling_momentum_3m_z_score_momentum,Model 3 + rolling_momentum_3m + z_score_momentum,11,26,0.12735210966412816,0.07679404569319367,0.12670429431171462,0.0790846173639712,0.21269862566842054,0.2127895270299162,"['ievr', 'normative_iv_rv_ratio', 'SKEW', 'KURT', 'IV_RATIO', 'SMIRK', 'vol_hl7', 'vol_hl10', 'vol_hl21', 'rolling_momentum_3m', 'z_score_momentum']"
Model3_plus_rolling_momentum_3m,Model 3 + rolling_momentum_3m,10,26,0.12724134839718299,0.07722657228164599,0.12670333426423805,0.07983469452633182,0.21270662507993104,0.21278104666735662,"['ievr', 'normative_iv_rv_ratio', 'SKEW', 'KURT', 'IV_RATIO', 'SMIRK', 'vol_hl7', 'vol_hl10', 'vol_hl21', 'rolling_momentum_3m']"
Model3_plus_momentum_1m_momentum_3m_momentum_6m,Model 3 + momentum_1m + momentum_3m + momentum_6m,12,25,0.1131631039093842,0.14166643001204118,0.12665597320098132,0.09363384793789195,0.2137440642857139,0.2130033337120424,"['ievr', 'normative_iv_rv_ratio', 'SKEW', 'KURT', 'IV_RATIO', 'SMIRK', 'vol_hl7', 'vol_hl10', 'vol_hl21', 'momentum_1m', 'momentum_3m', 'momentum_6m']"
Model3_plus_momentum_6m_rolling_momentum_3m,Model 3 + momentum_6m + rolling_momentum_3m,11,25,0.11699432406950887,0.12269512866369178,0.1263379453732086,0.0910453107501392,0.21344023720565378,0.21303853158819108,"['ievr', 'normative_iv_rv_ratio', 'SKEW', 'KURT', 'IV_RATIO', 'SMIRK', 'vol_hl7', 'vol_hl10', 'vol_hl21', 'momentum_6m', 'rolling_momentum_3m']"
Model3_plus_momentum_3m_momentum_6m_z_score_momentum,Model 3 + momentum_3m + momentum_6m + z_score_momentum,12,25,0.11988153460907848,0.11135718835058629,0.12600957887008846,0.09295451763833805,0.21322452813205545,0.21309760903015437,"['ievr', 'normative_iv_rv_ratio', 'SKEW', 'KURT', 'IV_RATIO', 'SMIRK', 'vol_hl7', 'vol_hl10', 'vol_hl21', 'momentum_3m', 'momentum_6m', 'z_score_momentum']"
