combination,algorithm,window_id,test_start,test_end,test_r2,test_rmse,val_r2,train_size,test_size,test_year
Model3_plus_momentum_6m,LinearRegression,2,2011-01,2011-06,-0.07385735618126255,0.23472109698544769,-0.2925667289520206,142,319,2011
Model3_plus_momentum_6m,LinearRegression,3,2011-07,2011-12,0.001001205714103337,0.21718278838346303,0.08514050856051614,432,312,2011
Model3_plus_momentum_6m,LinearRegression,4,2012-01,2012-06,0.1367404757131805,0.21730451377542814,0.010770561548959723,754,295,2012
Model3_plus_momentum_6m,LinearRegression,5,2012-07,2012-12,0.005161908473866883,0.2307063488888517,0.13408029505140207,1079,314,2012
Model3_plus_momentum_6m,LinearRegression,6,2013-01,2013-06,0.09240175050825106,0.21860500736499736,-0.0024708713931902437,1376,363,2013
Model3_plus_momentum_6m,LinearRegression,7,2013-07,2013-12,0.14343606454414404,0.21991451851384625,0.09631227644546025,1699,356,2013
Model3_plus_momentum_6m,LinearRegression,8,2014-01,2014-06,0.1741888886450329,0.19337137033028798,0.14344423426987585,2065,388,2014
Model3_plus_momentum_6m,LinearRegression,9,2014-07,2014-12,0.16275801501573062,0.20603896742027306,0.1750167109884705,2426,410,2014
Model3_plus_momentum_6m,LinearRegression,10,2015-01,2015-06,0.18452035483228313,0.20822133150204153,0.16808439314357315,2818,437,2015
Model3_plus_momentum_6m,LinearRegression,11,2015-07,2015-12,0.08567294692802441,0.21060293424218207,0.17947836325561617,3235,448,2015
Model3_plus_momentum_6m,LinearRegression,12,2016-01,2016-06,0.18649597411279728,0.21645591898066965,0.08467701679528905,3525,450,2016
Model3_plus_momentum_6m,LinearRegression,13,2016-07,2016-12,0.1936275423848688,0.22957428874342203,0.17227987043219817,3698,495,2016
Model3_plus_momentum_6m,LinearRegression,14,2017-01,2017-06,0.19147811985383634,0.22835529604390534,0.19314217898525543,3826,447,2017
Model3_plus_momentum_6m,LinearRegression,15,2017-07,2017-12,0.15011948544621534,0.2301896688905578,0.1946194981024364,4019,535,2017
Model3_plus_momentum_6m,LinearRegression,16,2018-01,2018-06,0.12121726547412504,0.20734682690007936,0.14975906361412217,4169,499,2018
Model3_plus_momentum_6m,LinearRegression,17,2018-07,2018-12,0.01250549485455632,0.21312577488023549,0.12050330311026036,4396,569,2018
Model3_plus_momentum_6m,LinearRegression,18,2019-01,2019-06,0.17744616349204667,0.21801524340079212,0.017788888218696175,4537,550,2019
Model3_plus_momentum_6m,LinearRegression,19,2019-07,2019-12,0.15351057460859152,0.2078988835982908,0.1634312489723817,4759,556,2019
Model3_plus_momentum_6m,LinearRegression,20,2020-01,2020-06,0.39207232507853984,0.1979326011987208,0.15246929876570947,4928,514,2020
Model3_plus_momentum_6m,LinearRegression,21,2020-07,2020-12,0.1408831911727345,0.2055431687234122,0.3905239104470145,5085,546,2020
Model3_plus_momentum_6m,LinearRegression,22,2021-01,2021-06,0.053699679884767426,0.20093642185329214,0.12732555037638826,5169,469,2021
Model3_plus_momentum_6m,LinearRegression,23,2021-07,2021-12,0.13079240672464576,0.20879811948766408,0.07899886196539574,5271,559,2021
Model3_plus_momentum_6m,LinearRegression,24,2022-01,2022-06,0.13974533690471935,0.20034435254466498,0.13454390786500225,5294,576,2022
Model3_plus_momentum_6m,LinearRegression,25,2022-07,2022-12,0.2038258121546178,0.1956733264140536,0.13563674384499913,5363,606,2022
Model3_plus_momentum_6m,LinearRegression,26,2023-01,2023-06,0.06278970114053761,0.20319117404445625,0.19875040286849976,5498,85,2023
Model3_plus_z_score_momentum,LinearRegression,1,2010-07,2010-12,-0.16308913757630794,0.22048033247380194,0.09595958795534265,2864,368,2010
Model3_plus_z_score_momentum,LinearRegression,2,2011-01,2011-06,0.12604032901969509,0.2099842844271277,-0.14806617252629217,2976,394,2011
Model3_plus_z_score_momentum,LinearRegression,3,2011-07,2011-12,0.08785568808847344,0.21243354375422416,0.12095736926860357,3100,395,2011
Model3_plus_z_score_momentum,LinearRegression,4,2012-01,2012-06,0.12682657961202481,0.21902478467405959,0.08415230356308279,3245,364,2012
Model3_plus_z_score_momentum,LinearRegression,5,2012-07,2012-12,0.06895445417716883,0.22604591910747604,0.12553427815502682,3399,400,2012
Model3_plus_z_score_momentum,LinearRegression,6,2013-01,2013-06,0.10723504562053232,0.21889989658284525,0.06687596840293886,3519,451,2013
