dte_bucket,moneyness_bin,ttm_bin,mean,median,count,std
0-3d,0.75-0.80,30-60d,0.7400601428571428,0.681952,7,0.1395143178141328
0-3d,0.85-0.90,30-60d,0.6273137999999999,0.580666,5,0.09134603160072143
0-3d,0.90-0.95,30-60d,0.5662332857142858,0.546703,7,0.03987396130607161
0-3d,0.95-1.00,0-30d,0.8480787857142857,0.6962155,14,0.3512017392245306
0-3d,0.95-1.00,30-60d,0.6113781904761905,0.586575,21,0.11293496249418032
0-3d,1.00-1.05,0-30d,0.605523,0.601131,9,0.061969880474307806
0-3d,1.00-1.05,30-60d,0.5088387777777778,0.494225,9,0.042726638393915876
0-3d,1.05-1.10,0-30d,0.5860845,0.5691925,12,0.06776289066161642
0-3d,1.05-1.10,30-60d,0.5268342083333334,0.483284,24,0.08433004676140525
0-3d,1.10-1.15,0-30d,0.5818694838709677,0.573935,31,0.09752720073903175
0-3d,1.10-1.15,30-60d,0.4964106190476191,0.447729,21,0.09887748499505644
0-3d,1.15-1.20,0-30d,0.5682208552631579,0.5358229999999999,76,0.12588340578579887
0-3d,1.15-1.20,30-60d,0.46491625000000003,0.425763,36,0.07435098312862357
4-7d,0.95-1.00,0-30d,0.700361,0.683778,9,0.13811455178582738
4-7d,0.95-1.00,30-60d,0.58315675,0.5655755,12,0.11228397651743628
4-7d,1.00-1.05,0-30d,0.6198148333333333,0.6214995,6,0.07443986071297194
4-7d,1.00-1.05,30-60d,0.5206311428571428,0.503131,7,0.05720895098796041
4-7d,1.05-1.10,0-30d,0.6000042727272727,0.580318,11,0.09620572767677704
4-7d,1.05-1.10,30-60d,0.4888007,0.4620295,10,0.062399582372267004
4-7d,1.10-1.15,0-30d,0.5729006521739131,0.56008,23,0.09770465776261582
4-7d,1.10-1.15,30-60d,0.434733875,0.4227145,8,0.04391943440124199
4-7d,1.15-1.20,0-30d,0.5297153333333333,0.504992,51,0.09027049725966212
4-7d,1.15-1.20,30-60d,0.4285686111111111,0.40822250000000004,18,0.05096252156950464
8-14d,0.75-0.80,30-60d,0.6438268333333333,0.6251685,6,0.03985292669512077
8-14d,0.80-0.85,30-60d,0.6010556,0.581199,5,0.05020010104870305
8-14d,0.85-0.90,0-30d,0.724262,0.725308,5,0.08086047596632116
8-14d,0.85-0.90,30-60d,0.5751979230769231,0.569843,13,0.03761639912649258
8-14d,0.90-0.95,0-30d,0.662991375,0.6563645,8,0.06055127614070457
8-14d,0.90-0.95,30-60d,0.5606855333333333,0.556108,15,0.06286964464539381
8-14d,0.95-1.00,0-30d,0.677251652173913,0.653027,23,0.11424794869676637
8-14d,0.95-1.00,30-60d,0.5285115769230769,0.520756,26,0.059524549102482505
8-14d,1.00-1.05,0-30d,0.59458,0.5988605,20,0.06889425181965096
8-14d,1.00-1.05,30-60d,0.5029175909090909,0.48267899999999997,22,0.06317645396269772
8-14d,1.05-1.10,0-30d,0.5683109642857143,0.5582135,28,0.08281538130505939
8-14d,1.05-1.10,30-60d,0.46376809375,0.439854,32,0.05857250766708119
8-14d,1.10-1.15,0-30d,0.5334460677966102,0.514105,59,0.06730324230901263
8-14d,1.10-1.15,30-60d,0.438077625,0.421832,40,0.05071074109439688
8-14d,1.15-1.20,0-30d,0.49327434020618555,0.473034,97,0.06894943453038711
8-14d,1.15-1.20,30-60d,0.41810627692307695,0.395888,65,0.055949504785427914
15-21d,0.75-0.80,30-60d,0.7210406666666667,0.674861,9,0.1967705174626016
15-21d,0.80-0.85,30-60d,0.6106565714285714,0.621524,7,0.050041134492392496
15-21d,0.85-0.90,30-60d,0.576986,0.583819,11,0.042081869535466214
15-21d,0.90-0.95,0-30d,0.6148773333333333,0.602019,6,0.058976664801145454
15-21d,0.90-0.95,30-60d,0.5478721875,0.5406195,16,0.05693586991018198
15-21d,0.95-1.00,0-30d,0.6098223333333334,0.5677695,12,0.1018761601993798
15-21d,0.95-1.00,30-60d,0.57789659375,0.5311345000000001,32,0.14660181316703386
15-21d,1.00-1.05,0-30d,0.5365475,0.512741,10,0.07464940278283098
15-21d,1.00-1.05,30-60d,0.5043288,0.489593,20,0.06674101039217509
15-21d,1.05-1.10,0-30d,0.53491285,0.5104415,20,0.13747116533229223
15-21d,1.05-1.10,30-60d,0.47356625806451613,0.456333,31,0.06686245274939077
15-21d,1.10-1.15,0-30d,0.4615652452830189,0.453181,53,0.04324592360020576
15-21d,1.10-1.15,30-60d,0.4450028684210526,0.41659199999999996,38,0.06658355790716512
15-21d,1.15-1.20,0-30d,0.4362978265306123,0.419061,98,0.09054546196533535
15-21d,1.15-1.20,30-60d,0.4220038360655738,0.392632,61,0.06378940001028917
22-30d,0.75-0.80,0-30d,0.777853,0.760671,5,0.062101163451259114
22-30d,0.75-0.80,30-60d,0.6413398333333333,0.6404215,6,0.010923423481979753
22-30d,0.80-0.85,0-30d,0.8352611111111111,0.740387,9,0.3248053392146766
22-30d,0.80-0.85,30-60d,0.6064099230769231,0.605098,13,0.023336587648517138
22-30d,0.85-0.90,0-30d,0.7972431304347826,0.687072,23,0.25403472060801313
22-30d,0.85-0.90,30-60d,0.5685439999999999,0.563636,15,0.022350585051466934
22-30d,0.90-0.95,0-30d,0.6910128,0.6156710000000001,20,0.22881053201413057
22-30d,0.90-0.95,30-60d,0.5387853157894738,0.536495,19,0.017024603503467937
22-30d,0.95-1.00,0-30d,0.6246586285714285,0.565915,35,0.14729978083448525
22-30d,0.95-1.00,30-60d,0.5238581612903226,0.510943,31,0.047292112776583774
22-30d,1.00-1.05,0-30d,0.5693972051282051,0.5638,39,0.11108665883164309
22-30d,1.00-1.05,30-60d,0.49087937931034487,0.477598,29,0.04046432965183549
22-30d,1.05-1.10,0-30d,0.5471753448275862,0.4886795,58,0.1871505362335641
22-30d,1.05-1.10,30-60d,0.4764142307692308,0.458371,39,0.04943606587910526
22-30d,1.10-1.15,0-30d,0.4485241685393258,0.445361,89,0.062480269757783244
22-30d,1.10-1.15,30-60d,0.4481245263157895,0.438642,57,0.042101347300763106
22-30d,1.15-1.20,0-30d,0.42218916867469886,0.419911,166,0.061681885399458895
22-30d,1.15-1.20,30-60d,0.4377389787234042,0.4251915,94,0.04626472684802239
